State Code,District Code,India/States,Division,Group,Class,NIC Name,Main Workers - Total -  Persons,Main Workers - Total - Males,Main Workers - Total - Females,Main Workers - Rural -  Persons,Main Workers - Rural - Males,Main Workers - Rural - Females,Main Workers - Urban -  Persons,Main Workers - Urban - Males,Main Workers - Urban - Females,Marginal Workers - Total -  Persons,Marginal Workers - Total - Males,Marginal Workers - Total - Females,Marginal Workers - Rural -  Persons,Marginal Workers - Rural - Males,Marginal Workers - Rural - Females,Marginal Workers - Urban -  Persons,Marginal Workers - Urban - Males,Marginal Workers - Urban - Females
`12,`000,STATE - ARUNACHAL PRADESH,`00,`000,`0000,Total,211353,160166,51187,114667,85612,29055,96686,74554,22132,38415,19776,18639,24581,12610,11971,13834,7166,6668
`12,`000,STATE - ARUNACHAL PRADESH,`01,`000,`0000,"Crop and animal production, hunting and related service activities",12967,8180,4787,10821,6770,4051,2146,1410,736,2975,1211,1764,2545,1004,1541,430,207,223
`12,`000,STATE - ARUNACHAL PRADESH,`01,`011,`0000,Growing of non-perennial crops,2373,1352,1021,1482,824,658,891,528,363,1164,563,601,906,441,465,258,122,136
`12,`000,STATE - ARUNACHAL PRADESH,`01,`011,`0111,"Growing of cereals (except rice), leguminous crops and oil seeds",171,98,73,131,81,50,40,17,23,33,16,17,30,14,16,3,2,1
`12,`000,STATE - ARUNACHAL PRADESH,`01,`011,`0112,Growing of rice,1944,1106,838,1207,656,551,737,450,287,1005,480,525,780,375,405,225,105,120
`12,`000,STATE - ARUNACHAL PRADESH,`01,`011,`0113,"Growing of vegetables and melons, roots and tubers",245,135,110,135,78,57,110,57,53,117,61,56,87,46,41,30,15,15
`12,`000,STATE - ARUNACHAL PRADESH,`01,`011,`0114,Growing of sugar cane,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
`12,`000,STATE - ARUNACHAL PRADESH,`01,`011,`0115,Growing of tobacco,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0
`12,`000,STATE - ARUNACHAL PRADESH,`01,`011,`0119,Growing of other non-perennial crop,13,13,0,9,9,0,4,4,0,6,6,0,6,6,0,0,0,0
`12,`000,STATE - ARUNACHAL PRADESH,`01,`012,`0000,Growing of perennial crops,7422,4503,2919,7152,4299,2853,270,204,66,1042,261,781,1027,251,776,15,10,5
`12,`000,STATE - ARUNACHAL PRADESH,`01,`012,`0122,Growing of tropical and subtropical fruits,58,41,17,45,29,16,13,12,1,7,7,0,7,7,0,0,0,0
`12,`000,STATE - ARUNACHAL PRADESH,`01,`012,`0123,Growing of citrus fruits,54,42,12,43,34,9,11,8,3,34,15,19,33,14,19,1,1,0
`12,`000,STATE - ARUNACHAL PRADESH,`01,`012,`0124,Growing of pome fruits and stone fruits,62,44,18,51,35,16,11,9,2,12,10,2,11,9,2,1,1,0
`12,`000,STATE - ARUNACHAL PRADESH,`01,`012,`0125,Growing of other tree and bush fruits and nuts,46,38,8,25,22,3,21,16,5,3,3,0,2,2,0,1,1,0
`12,`000,STATE - ARUNACHAL PRADESH,`01,`012,`0126,Growing of oleaginous fruits,47,34,13,33,26,7,14,8,6,1,1,0,1,1,0,0,0,0
`12,`000,STATE - ARUNACHAL PRADESH,`01,`012,`0127,Growing of beverage crops,7073,4266,2807,6899,4130,2769,174,136,38,937,206,731,927,199,728,10,7,3
`12,`000,STATE - ARUNACHAL PRADESH,`01,`012,`0128,"Growing of spices, aromatic, drug and pharmaceutical crops",17,8,9,2,1,1,15,7,8,38,12,26,36,12,24,2,0,2
`12,`000,STATE - ARUNACHAL PRADESH,`01,`012,`0129,Growing of other perennial crops,65,30,35,54,22,32,11,8,3,10,7,3,10,7,3,0,0,0
`12,`000,STATE - ARUNACHAL PRADESH,`01,`013,`0000,Plant propagation,125,91,34,60,41,19,65,50,15,26,16,10,20,11,9,6,5,1
`12,`000,STATE - ARUNACHAL PRADESH,`01,`013,`0130,Plant propagation,125,91,34,60,41,19,65,50,15,26,16,10,20,11,9,6,5,1
`12,`000,STATE - ARUNACHAL PRADESH,`01,`014,`0000,Animal production,1342,1082,260,1126,920,206,216,162,54,246,108,138,222,94,128,24,14,10
`12,`000,STATE - ARUNACHAL PRADESH,`01,`014,`0141,Raising of cattle and buffaloes,929,747,182,828,671,157,101,76,25,168,88,80,155,78,77,13,10,3
`12,`000,STATE - ARUNACHAL PRADESH,`01,`014,`0142,Raising of horses and other equines,3,3,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0
`12,`000,STATE - ARUNACHAL PRADESH,`01,`014,`0144,Raising of sheep and goats,41,33,8,37,30,7,4,3,1,6,4,2,5,3,2,1,1,0
`12,`000,STATE - ARUNACHAL PRADESH,`01,`014,`0145,Raising of swine/pigs,43,34,9,35,30,5,8,4,4,16,2,14,13,2,11,3,0,3
`12,`000,STATE - ARUNACHAL PRADESH,`01,`014,`0146,Raising of poultry,124,103,21,85,72,13,39,31,8,18,9,9,13,6,7,5,3,2
`12,`000,STATE - ARUNACHAL PRADESH,`01,`014,`0149,Raising of other animals,202,162,40,139,115,24,63,47,16,38,5,33,36,5,31,2,0,2
`12,`000,STATE - ARUNACHAL PRADESH,`01,`015,`0000,Mixed farming,369,219,150,223,127,96,146,92,54,208,93,115,153,72,81,55,21,34
`12,`000,STATE - ARUNACHAL PRADESH,`01,`015,`0150,Mixed farming,369,219,150,223,127,96,146,92,54,208,93,115,153,72,81,55,21,34
`12,`000,STATE - ARUNACHAL PRADESH,`01,`016,`0000,Support activities to agriculture and post-harvest crop activities,1330,927,403,773,554,219,557,373,184,271,152,119,199,117,82,72,35,37
`12,`000,STATE - ARUNACHAL PRADESH,`01,`016,`0161,Support activities for crop production,991,689,302,615,439,176,376,250,126,188,103,85,130,71,59,58,32,26
`12,`000,STATE - ARUNACHAL PRADESH,`01,`016,`0162,Support activities for animal production,26,13,13,18,6,12,8,7,1,0,0,0,0,0,0,0,0,0
`12,`000,STATE - ARUNACHAL PRADESH,`01,`016,`0163,Post-harvest crop activities,304,216,88,132,101,31,172,115,57,83,49,34,69,46,23,14,3,11
`12,`000,STATE - ARUNACHAL PRADESH,`01,`016,`0164,Seed processing for propagation,9,9,0,8,8,0,1,1,0,0,0,0,0,0,0,0,0,0
`12,`000,STATE - ARUNACHAL PRADESH,`01,`017,`0000,"Hunting, trapping and related service activities",6,6,0,5,5,0,1,1,0,18,18,0,18,18,0,0,0,0
`12,`000,STATE - ARUNACHAL PRADESH,`01,`017,`0170,"Hunting, trapping and related service activities",6,6,0,5,5,0,1,1,0,18,18,0,18,18,0,0,0,0
`12,`000,STATE - ARUNACHAL PRADESH,`02,`000,`0000,Forestry and logging,3473,2712,761,1667,1398,269,1806,1314,492,267,166,101,198,135,63,69,31,38
`12,`000,STATE - ARUNACHAL PRADESH,`02,`021,`0000,Silviculture and other forestry activities,207,146,61,70,58,12,137,88,49,8,6,2,6,4,2,2,2,0
`12,`000,STATE - ARUNACHAL PRADESH,`02,`021,`0210,Silviculture and other forestry activities,207,146,61,70,58,12,137,88,49,8,6,2,6,4,2,2,2,0
`12,`000,STATE - ARUNACHAL PRADESH,`02,`022,`0000,Logging,206,197,9,164,157,7,42,40,2,98,76,22,87,72,15,11,4,7
`12,`000,STATE - ARUNACHAL PRADESH,`02,`022,`0220,Logging,206,197,9,164,157,7,42,40,2,98,76,22,87,72,15,11,4,7
`12,`000,STATE - ARUNACHAL PRADESH,`02,`023,`0000,Gathering of non-wood forest products,71,63,8,56,54,2,15,9,6,5,5,0,3,3,0,2,2,0
`12,`000,STATE - ARUNACHAL PRADESH,`02,`023,`0230,Gathering of non-wood forest products,71,63,8,56,54,2,15,9,6,5,5,0,3,3,0,2,2,0
`12,`000,STATE - ARUNACHAL PRADESH,`02,`024,`0000,Support services to forestry,2989,2306,683,1377,1129,248,1612,1177,435,156,79,77,102,56,46,54,23,31
`12,`000,STATE - ARUNACHAL PRADESH,`02,`024,`0240,Support services to forestry,2989,2306,683,1377,1129,248,1612,1177,435,156,79,77,102,56,46,54,23,31
`12,`000,STATE - ARUNACHAL PRADESH,`03,`000,`0000,Fishing and aquaculture,275,257,18,116,106,10,159,151,8,83,74,9,75,66,9,8,8,0
`12,`000,STATE - ARUNACHAL PRADESH,`03,`031,`0000,Fishing,240,225,15,92,84,8,148,141,7,76,68,8,68,60,8,8,8,0
`12,`000,STATE - ARUNACHAL PRADESH,`03,`031,`0311,Marine fishing,110,100,10,56,51,5,54,49,5,11,11,0,7,7,0,4,4,0
`12,`000,STATE - ARUNACHAL PRADESH,`03,`031,`0312,Freash water fishing,130,125,5,36,33,3,94,92,2,65,57,8,61,53,8,4,4,0
`12,`000,STATE - ARUNACHAL PRADESH,`03,`032,`0000,Aquaculture,35,32,3,24,22,2,11,10,1,7,6,1,7,6,1,0,0,0
`12,`000,STATE - ARUNACHAL PRADESH,`03,`032,`0321,Marine aquaculture,3,2,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0
`12,`000,STATE - ARUNACHAL PRADESH,`03,`032,`0322,Freshwater aquaculture,32,30,2,22,21,1,10,9,1,7,6,1,7,6,1,0,0,0
`12,`000,STATE - ARUNACHAL PRADESH,`05,`000,`0000,Mining of coal and lignite,63,57,6,48,47,1,15,10,5,13,5,8,13,5,8,0,0,0
`12,`000,STATE - ARUNACHAL PRADESH,`05,`051,`0000,Mining of hard coal,61,55,6,47,46,1,14,9,5,13,5,8,13,5,8,0,0,0
`12,`000,STATE - ARUNACHAL PRADESH,`05,`051,`0510,Mining of hard coal,61,55,6,47,46,1,14,9,5,13,5,8,13,5,8,0,0,0
