State Code,District Code,India/States,Division,Group,Class,NIC Name,Main Workers - Total -  Persons,Main Workers - Total - Males,Main Workers - Total - Females,Main Workers - Rural -  Persons,Main Workers - Rural - Males,Main Workers - Rural - Females,Main Workers - Urban -  Persons,Main Workers - Urban - Males,Main Workers - Urban - Females,Marginal Workers - Total -  Persons,Marginal Workers - Total - Males,Marginal Workers - Total - Females,Marginal Workers - Rural -  Persons,Marginal Workers - Rural - Males,Marginal Workers - Rural - Females,Marginal Workers - Urban -  Persons,Marginal Workers - Urban - Males,Marginal Workers - Urban - Females
`14,`000,STATE - MANIPUR,`00,`000,`0000,Total,463655,311080,152575,250644,171866,78778,213011,139214,73797,154250,57170,97080,96283,34860,61423,57967,22310,35657
`14,`000,STATE - MANIPUR,`01,`000,`0000,"Crop and animal production, hunting and related service activities",12240,8443,3797,6999,4692,2307,5241,3751,1490,5447,2804,2643,3968,2019,1949,1479,785,694
`14,`000,STATE - MANIPUR,`01,`011,`0000,Growing of non-perennial crops,6511,4268,2243,3724,2346,1378,2787,1922,865,3610,1818,1792,2732,1374,1358,878,444,434
`14,`000,STATE - MANIPUR,`01,`011,`0111,"Growing of cereals (except rice), leguminous crops and oil seeds",27,21,6,26,21,5,1,0,1,30,8,22,28,8,20,2,0,2
`14,`000,STATE - MANIPUR,`01,`011,`0112,Growing of rice,5981,4028,1953,3415,2207,1208,2566,1821,745,2915,1675,1240,2352,1285,1067,563,390,173
`14,`000,STATE - MANIPUR,`01,`011,`0113,"Growing of vegetables and melons, roots and tubers",484,200,284,274,109,165,210,91,119,655,129,526,342,75,267,313,54,259
`14,`000,STATE - MANIPUR,`01,`011,`0114,Growing of sugar cane,14,14,0,8,8,0,6,6,0,8,4,4,8,4,4,0,0,0
`14,`000,STATE - MANIPUR,`01,`011,`0119,Growing of other non-perennial crop,5,5,0,1,1,0,4,4,0,2,2,0,2,2,0,0,0,0
`14,`000,STATE - MANIPUR,`01,`012,`0000,Growing of perennial crops,649,356,293,557,283,274,92,73,19,130,81,49,112,65,47,18,16,2
`14,`000,STATE - MANIPUR,`01,`012,`0122,Growing of tropical and subtropical fruits,252,94,158,246,88,158,6,6,0,31,22,9,24,16,8,7,6,1
`14,`000,STATE - MANIPUR,`01,`012,`0123,Growing of citrus fruits,28,22,6,25,20,5,3,2,1,3,1,2,3,1,2,0,0,0
`14,`000,STATE - MANIPUR,`01,`012,`0124,Growing of pome fruits and stone fruits,6,4,2,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0
`14,`000,STATE - MANIPUR,`01,`012,`0125,Growing of other tree and bush fruits and nuts,25,23,2,12,10,2,13,13,0,16,13,3,9,7,2,7,6,1
`14,`000,STATE - MANIPUR,`01,`012,`0126,Growing of oleaginous fruits,59,37,22,27,13,14,32,24,8,2,2,0,2,2,0,0,0,0
