State Code,District Code,India/States,Division,Group,Class,NIC Name,Main Workers - Total -  Persons,Main Workers - Total - Males,Main Workers - Total - Females,Main Workers - Rural -  Persons,Main Workers - Rural - Males,Main Workers - Rural - Females,Main Workers - Urban -  Persons,Main Workers - Urban - Males,Main Workers - Urban - Females,Marginal Workers - Total -  Persons,Marginal Workers - Total - Males,Marginal Workers - Total - Females,Marginal Workers - Rural -  Persons,Marginal Workers - Rural - Males,Marginal Workers - Rural - Females,Marginal Workers - Urban -  Persons,Marginal Workers - Urban - Males,Marginal Workers - Urban - Females
`15,`000,STATE - MIZORAM,`00,`000,`0000,Total,185730,124545,61185,35102,25407,9695,150628,99138,51490,29084,13581,15503,6001,2316,3685,23083,11265,11818
`15,`000,STATE - MIZORAM,`01,`000,`0000,"Crop and animal production, hunting and related service activities",6923,4018,2905,1172,754,418,5751,3264,2487,2260,659,1601,469,145,324,1791,514,1277
`15,`000,STATE - MIZORAM,`01,`011,`0000,Growing of non-perennial crops,2345,1389,956,355,199,156,1990,1190,800,401,180,221,106,46,60,295,134,161
`15,`000,STATE - MIZORAM,`01,`011,`0111,"Growing of cereals (except rice), leguminous crops and oil seeds",130,80,50,16,8,8,114,72,42,10,4,6,1,0,1,9,4,5
`15,`000,STATE - MIZORAM,`01,`011,`0112,Growing of rice,1908,1154,754,283,160,123,1625,994,631,280,146,134,82,39,43,198,107,91
`15,`000,STATE - MIZORAM,`01,`011,`0113,"Growing of vegetables and melons, roots and tubers",282,139,143,51,28,23,231,111,120,97,30,67,20,7,13,77,23,54
`15,`000,STATE - MIZORAM,`01,`011,`0114,Growing of sugar cane,3,2,1,2,1,1,1,1,0,5,0,5,3,0,3,2,0,2
`15,`000,STATE - MIZORAM,`01,`011,`0116,Growing of fibre crops,5,4,1,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0
`15,`000,STATE - MIZORAM,`01,`011,`0119,Growing of other non-perennial crop,17,10,7,3,2,1,14,8,6,9,0,9,0,0,0,9,0,9
`15,`000,STATE - MIZORAM,`01,`012,`0000,Growing of perennial crops,303,217,86,93,76,17,210,141,69,132,61,71,77,31,46,55,30,25
`15,`000,STATE - MIZORAM,`01,`012,`0121,Growing of grapes,7,4,3,0,0,0,7,4,3,1,0,1,0,0,0,1,0,1
`15,`000,STATE - MIZORAM,`01,`012,`0122,Growing of tropical and subtropical fruits,34,22,12,5,4,1,29,18,11,13,10,3,4,3,1,9,7,2
`15,`000,STATE - MIZORAM,`01,`012,`0123,Growing of citrus fruits,23,19,4,11,11,0,12,8,4,9,7,2,5,3,2,4,4,0
`15,`000,STATE - MIZORAM,`01,`012,`0125,Growing of other tree and bush fruits and nuts,49,34,15,23,18,5,26,16,10,6,2,4,2,0,2,4,2,2
`15,`000,STATE - MIZORAM,`01,`012,`0126,Growing of oleaginous fruits,10,8,2,1,1,0,9,7,2,0,0,0,0,0,0,0,0,0
`15,`000,STATE - MIZORAM,`01,`012,`0127,Growing of beverage crops,121,82,39,34,26,8,87,56,31,75,33,42,58,22,36,17,11,6
`15,`000,STATE - MIZORAM,`01,`012,`0128,"Growing of spices, aromatic, drug and pharmaceutical crops",6,4,2,2,1,1,4,3,1,6,2,4,3,2,1,3,0,3
`15,`000,STATE - MIZORAM,`01,`012,`0129,Growing of other perennial crops,53,44,9,17,15,2,36,29,7,22,7,15,5,1,4,17,6,11
`15,`000,STATE - MIZORAM,`01,`013,`0000,Plant propagation,43,29,14,11,8,3,32,21,11,14,5,9,3,1,2,11,4,7
`15,`000,STATE - MIZORAM,`01,`013,`0130,Plant propagation,43,29,14,11,8,3,32,21,11,14,5,9,3,1,2,11,4,7
`15,`000,STATE - MIZORAM,`01,`014,`0000,Animal production,3070,1551,1519,587,375,212,2483,1176,1307,1543,320,1223,258,54,204,1285,266,1019
`15,`000,STATE - MIZORAM,`01,`014,`0141,Raising of cattle and buffaloes,1188,796,392,383,268,115,805,528,277,159,71,88,38,10,28,121,61,60
`15,`000,STATE - MIZORAM,`01,`014,`0142,Raising of horses and other equines,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
`15,`000,STATE - MIZORAM,`01,`014,`0144,Raising of sheep and goats,9,5,4,3,3,0,6,2,4,7,4,3,1,1,0,6,3,3
`15,`000,STATE - MIZORAM,`01,`014,`0145,Raising of swine/pigs,1151,386,765,123,52,71,1028,334,694,904,151,753,153,17,136,751,134,617
`15,`000,STATE - MIZORAM,`01,`014,`0146,Raising of poultry,271,105,166,36,22,14,235,83,152,316,64,252,43,22,21,273,42,231
`15,`000,STATE - MIZORAM,`01,`014,`0149,Raising of other animals,449,258,191,40,29,11,409,229,180,157,30,127,23,4,19,134,26,108
`15,`000,STATE - MIZORAM,`01,`015,`0000,Mixed farming,391,264,127,42,31,11,349,233,116,109,61,48,9,2,7,100,59,41
`15,`000,STATE - MIZORAM,`01,`015,`0150,Mixed farming,391,264,127,42,31,11,349,233,116,109,61,48,9,2,7,100,59,41
`15,`000,STATE - MIZORAM,`01,`016,`0000,Support activities to agriculture and post-harvest crop activities,770,567,203,84,65,19,686,502,184,60,31,29,16,11,5,44,20,24
`15,`000,STATE - MIZORAM,`01,`016,`0161,Support activities for crop production,676,503,173,75,59,16,601,444,157,43,27,16,12,11,1,31,16,15
`15,`000,STATE - MIZORAM,`01,`016,`0163,Post-harvest crop activities,94,64,30,9,6,3,85,58,27,17,4,13,4,0,4,13,4,9
`15,`000,STATE - MIZORAM,`01,`017,`0000,"Hunting, trapping and related service activities",1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0
`15,`000,STATE - MIZORAM,`01,`017,`0170,"Hunting, trapping and related service activities",1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0
`15,`000,STATE - MIZORAM,`02,`000,`0000,Forestry and logging,2323,1944,379,793,759,34,1530,1185,345,161,113,48,86,54,32,75,59,16
`15,`000,STATE - MIZORAM,`02,`021,`0000,Silviculture and other forestry activities,161,119,42,20,18,2,141,101,40,10,6,4,1,0,1,9,6,3
`15,`000,STATE - MIZORAM,`02,`021,`0210,Silviculture and other forestry activities,161,119,42,20,18,2,141,101,40,10,6,4,1,0,1,9,6,3
`15,`000,STATE - MIZORAM,`02,`022,`0000,Logging,244,223,21,161,150,11,83,73,10,100,72,28,65,41,24,35,31,4
`15,`000,STATE - MIZORAM,`02,`022,`0220,Logging,244,223,21,161,150,11,83,73,10,100,72,28,65,41,24,35,31,4
`15,`000,STATE - MIZORAM,`02,`023,`0000,Gathering of non-wood forest products,16,14,2,5,5,0,11,9,2,1,1,0,0,0,0,1,1,0
`15,`000,STATE - MIZORAM,`02,`023,`0230,Gathering of non-wood forest products,16,14,2,5,5,0,11,9,2,1,1,0,0,0,0,1,1,0
`15,`000,STATE - MIZORAM,`02,`024,`0000,Support services to forestry,1902,1588,314,607,586,21,1295,1002,293,50,34,16,20,13,7,30,21,9
`15,`000,STATE - MIZORAM,`02,`024,`0240,Support services to forestry,1902,1588,314,607,586,21,1295,1002,293,50,34,16,20,13,7,30,21,9
`15,`000,STATE - MIZORAM,`03,`000,`0000,Fishing and aquaculture,220,187,33,54,51,3,166,136,30,48,42,6,37,31,6,11,11,0
`15,`000,STATE - MIZORAM,`03,`031,`0000,Fishing,184,159,25,50,47,3,134,112,22,44,39,5,33,28,5,11,11,0
`15,`000,STATE - MIZORAM,`03,`031,`0311,Marine fishing,106,93,13,21,21,0,85,72,13,37,33,4,29,25,4,8,8,0
`15,`000,STATE - MIZORAM,`03,`031,`0312,Freash water fishing,78,66,12,29,26,3,49,40,9,7,6,1,4,3,1,3,3,0
`15,`000,STATE - MIZORAM,`03,`032,`0000,Aquaculture,36,28,8,4,4,0,32,24,8,4,3,1,4,3,1,0,0,0
`15,`000,STATE - MIZORAM,`03,`032,`0321,Marine aquaculture,7,5,2,1,1,0,6,4,2,0,0,0,0,0,0,0,0,0
`15,`000,STATE - MIZORAM,`03,`032,`0322,Freshwater aquaculture,29,23,6,3,3,0,26,20,6,4,3,1,4,3,1,0,0,0
`15,`000,STATE - MIZORAM,`05,`000,`0000,Mining of coal and lignite,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
`15,`000,STATE - MIZORAM,`05,`051,`0000,Mining of hard coal,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
`15,`000,STATE - MIZORAM,`05,`051,`0510,Mining of hard coal,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
`15,`000,STATE - MIZORAM,`06,`000,`0000,Extraction of crude petroleum and natural gas,126,104,22,2,2,0,124,102,22,12,6,6,0,0,0,12,6,6
`15,`000,STATE - MIZORAM,`06,`061,`0000,Extraction of crude petroleum,124,102,22,0,0,0,124,102,22,12,6,6,0,0,0,12,6,6
`15,`000,STATE - MIZORAM,`06,`061,`0610,Extraction of crude petroleum,124,102,22,0,0,0,124,102,22,12,6,6,0,0,0,12,6,6
`15,`000,STATE - MIZORAM,`06,`062,`0000,Extraction of natural gas,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
`15,`000,STATE - MIZORAM,`06,`062,`0620,Extraction of natural gas,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
`15,`000,STATE - MIZORAM,`08,`000,`0000,Other mining and quarrying,998,870,128,151,120,31,847,750,97,217,178,39,18,14,4,199,164,35
`15,`000,STATE - MIZORAM,`08,`081,`0000,"Quarrying of stone, sand and clay",737,641,96,93,75,18,644,566,78,147,119,28,12,8,4,135,111,24
`15,`000,STATE - MIZORAM,`08,`081,`0810,"Quarrying of stone, sand and clay",737,641,96,93,75,18,644,566,78,147,119,28,12,8,4,135,111,24
`15,`000,STATE - MIZORAM,`08,`089,`0000,Mining and quarrying n.e.c.,261,229,32,58,45,13,203,184,19,70,59,11,6,6,0,64,53,11
`15,`000,STATE - MIZORAM,`08,`089,`0899,Other mining and quarrying n.e.c.,261,229,32,58,45,13,203,184,19,70,59,11,6,6,0,64,53,11
`15,`000,STATE - MIZORAM,`09,`000,`0000,Mining support service activities,38,27,11,4,4,0,34,23,11,2,1,1,0,0,0,2,1,1
`15,`000,STATE - MIZORAM,`09,`091,`0000,Support activities for petroleum and natural gas mining,8,7,1,4,4,0,4,3,1,0,0,0,0,0,0,0,0,0
`15,`000,STATE - MIZORAM,`09,`091,`0910,Support activities for petroleum and natural gas mining,8,7,1,4,4,0,4,3,1,0,0,0,0,0,0,0,0,0
`15,`000,STATE - MIZORAM,`09,`099,`0000,Support activities for other mining and quarrying,30,20,10,0,0,0,30,20,10,2,1,1,0,0,0,2,1,1
`15,`000,STATE - MIZORAM,`09,`099,`0990,Support activities for other mining and quarrying,30,20,10,0,0,0,30,20,10,2,1,1,0,0,0,2,1,1
