State Code,District Code,India/States,Division,Group,Class,NIC Name,Main Workers - Total -  Persons,Main Workers - Total - Males,Main Workers - Total - Females,Main Workers - Rural -  Persons,Main Workers - Rural - Males,Main Workers - Rural - Females,Main Workers - Urban -  Persons,Main Workers - Urban - Males,Main Workers - Urban - Females,Marginal Workers - Total -  Persons,Marginal Workers - Total - Males,Marginal Workers - Total - Females,Marginal Workers - Rural -  Persons,Marginal Workers - Rural - Males,Marginal Workers - Rural - Females,Marginal Workers - Urban -  Persons,Marginal Workers - Urban - Males,Marginal Workers - Urban - Females
`19,`000,STATE - WEST BENGAL,`00,`000,`0000,Total,15619759,12801403,2818356,6770444,5446541,1323903,8849315,7354862,1494453,3834122,1966750,1867372,2515182,1223824,1291358,1318940,742926,576014
`19,`000,STATE - WEST BENGAL,`01,`000,`0000,"Crop and animal production, hunting and related service activities",497199,313521,183678,425722,255838,169884,71477,57683,13794,202291,79611,122680,187933,70669,117264,14358,8942,5416
`19,`000,STATE - WEST BENGAL,`01,`011,`0000,Growing of non-perennial crops,40461,36655,3806,25015,22419,2596,15446,14236,1210,19833,13894,5939,16156,10863,5293,3677,3031,646
`19,`000,STATE - WEST BENGAL,`01,`011,`0111,"Growing of cereals (except rice), leguminous crops and oil seeds",10571,9549,1022,6500,5781,719,4071,3768,303,5133,3393,1740,4238,2713,1525,895,680,215
`19,`000,STATE - WEST BENGAL,`01,`011,`0112,Growing of rice,26974,24571,2403,16853,15210,1643,10121,9361,760,13629,9767,3862,11078,7621,3457,2551,2146,405
`19,`000,STATE - WEST BENGAL,`01,`011,`0113,"Growing of vegetables and melons, roots and tubers",2145,1867,278,1204,1029,175,941,838,103,889,610,279,694,439,255,195,171,24
`19,`000,STATE - WEST BENGAL,`01,`011,`0114,Growing of sugar cane,15,15,0,3,3,0,12,12,0,5,5,0,5,5,0,0,0,0
`19,`000,STATE - WEST BENGAL,`01,`011,`0115,Growing of tobacco,34,34,0,26,26,0,8,8,0,0,0,0,0,0,0,0,0,0
`19,`000,STATE - WEST BENGAL,`01,`011,`0116,Growing of fibre crops,236,193,43,136,102,34,100,91,9,53,42,11,48,37,11,5,5,0
`19,`000,STATE - WEST BENGAL,`01,`011,`0119,Growing of other non-perennial crop,486,426,60,293,268,25,193,158,35,124,77,47,93,48,45,31,29,2
`19,`000,STATE - WEST BENGAL,`01,`012,`0000,Growing of perennial crops,320141,176898,143243,301924,166102,135822,18217,10796,7421,74920,32786,42134,72217,31418,40799,2703,1368,1335
`19,`000,STATE - WEST BENGAL,`01,`012,`0122,Growing of tropical and subtropical fruits,784,728,56,769,713,56,15,15,0,75,60,15,70,55,15,5,5,0
`19,`000,STATE - WEST BENGAL,`01,`012,`0123,Growing of citrus fruits,23,23,0,9,9,0,14,14,0,18,18,0,18,18,0,0,0,0
`19,`000,STATE - WEST BENGAL,`01,`012,`0124,Growing of pome fruits and stone fruits,11,11,0,2,2,0,9,9,0,0,0,0,0,0,0,0,0,0
`19,`000,STATE - WEST BENGAL,`01,`012,`0125,Growing of other tree and bush fruits and nuts,793,593,200,612,425,187,181,168,13,401,172,229,329,137,192,72,35,37
`19,`000,STATE - WEST BENGAL,`01,`012,`0126,Growing of oleaginous fruits,133,130,3,98,95,3,35,35,0,32,32,0,29,29,0,3,3,0
`19,`000,STATE - WEST BENGAL,`01,`012,`0127,Growing of beverage crops,314393,172413,141980,296916,162303,134613,17477,10110,7367,73830,32133,41697,71297,30876,40421,2533,1257,1276
`19,`000,STATE - WEST BENGAL,`01,`012,`0128,"Growing of spices, aromatic, drug and pharmaceutical crops",2683,1829,854,2615,1774,841,68,55,13,121,74,47,119,72,47,2,2,0
`19,`000,STATE - WEST BENGAL,`01,`012,`0129,Growing of other perennial crops,1321,1171,150,903,781,122,418,390,28,443,297,146,355,231,124,88,66,22
`19,`000,STATE - WEST BENGAL,`01,`013,`0000,Plant propagation,8597,7748,849,5683,5048,635,2914,2700,214,3691,2558,1133,3102,2151,951,589,407,182
`19,`000,STATE - WEST BENGAL,`01,`013,`0130,Plant propagation,8597,7748,849,5683,5048,635,2914,2700,214,3691,2558,1133,3102,2151,951,589,407,182
`19,`000,STATE - WEST BENGAL,`01,`014,`0000,Animal production,102075,69168,32907,75641,46848,28793,26434,22320,4114,90436,21839,68597,85040,19250,65790,5396,2589,2807
`19,`000,STATE - WEST BENGAL,`01,`014,`0141,Raising of cattle and buffaloes,83315,55580,27735,60703,36621,24082,22612,18959,3653,72256,17451,54805,67643,15260,52383,4613,2191,2422
`19,`000,STATE - WEST BENGAL,`01,`014,`0142,Raising of horses and other equines,26,15,11,21,10,11,5,5,0,9,6,3,3,0,3,6,6,0
