State Code,District Code,India/States,Division,Group,Class,NIC Name,Main Workers - Total -  Persons,Main Workers - Total - Males,Main Workers - Total - Females,Main Workers - Rural -  Persons,Main Workers - Rural - Males,Main Workers - Rural - Females,Main Workers - Urban -  Persons,Main Workers - Urban - Males,Main Workers - Urban - Females,Marginal Workers - Total -  Persons,Marginal Workers - Total - Males,Marginal Workers - Total - Females,Marginal Workers - Rural -  Persons,Marginal Workers - Rural - Males,Marginal Workers - Rural - Females,Marginal Workers - Urban -  Persons,Marginal Workers - Urban - Males,Marginal Workers - Urban - Females
`07,`000,STATE - NCT OF DELHI,`00,`000,`0000,Total,828980,708129,120851,20567,17425,3142,808413,690704,117709,61009,44743,16266,1969,1494,475,59040,43249,15791
`07,`000,STATE - NCT OF DELHI,`01,`000,`0000,"Crop and animal production, hunting and related service activities",1484,1271,213,179,128,51,1305,1143,162,224,150,74,23,13,10,201,137,64
`07,`000,STATE - NCT OF DELHI,`01,`011,`0000,Growing of non-perennial crops,169,151,18,17,15,2,152,136,16,92,65,27,14,12,2,78,53,25
`07,`000,STATE - NCT OF DELHI,`01,`011,`0111,"Growing of cereals (except rice), leguminous crops and oil seeds",83,81,2,9,7,2,74,74,0,37,27,10,8,6,2,29,21,8
`07,`000,STATE - NCT OF DELHI,`01,`011,`0112,Growing of rice,9,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0
`07,`000,STATE - NCT OF DELHI,`01,`011,`0113,"Growing of vegetables and melons, roots and tubers",42,34,8,7,7,0,35,27,8,52,35,17,6,6,0,46,29,17
`07,`000,STATE - NCT OF DELHI,`01,`011,`0116,Growing of fibre crops,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0
`07,`000,STATE - NCT OF DELHI,`01,`011,`0119,Growing of other non-perennial crop,29,21,8,1,1,0,28,20,8,3,3,0,0,0,0,3,3,0
`07,`000,STATE - NCT OF DELHI,`01,`012,`0000,Growing of perennial crops,84,72,12,7,7,0,77,65,12,5,3,2,0,0,0,5,3,2
`07,`000,STATE - NCT OF DELHI,`01,`012,`0127,Growing of beverage crops,49,49,0,1,1,0,48,48,0,3,3,0,0,0,0,3,3,0
`07,`000,STATE - NCT OF DELHI,`01,`012,`0128,"Growing of spices, aromatic, drug and pharmaceutical crops",0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2
