State Code,District Code,India/States,Division,Group,Class,NIC Name,Main Workers - Total -  Persons,Main Workers - Total - Males,Main Workers - Total - Females,Main Workers - Rural -  Persons,Main Workers - Rural - Males,Main Workers - Rural - Females,Main Workers - Urban -  Persons,Main Workers - Urban - Males,Main Workers - Urban - Females,Marginal Workers - Total -  Persons,Marginal Workers - Total - Males,Marginal Workers - Total - Females,Marginal Workers - Rural -  Persons,Marginal Workers - Rural - Males,Marginal Workers - Rural - Females,Marginal Workers - Urban -  Persons,Marginal Workers - Urban - Males,Marginal Workers - Urban - Females
`16,`000,STATE - TRIPURA,`00,`000,`0000,Total,125810,105429,20381,65350,54866,10484,60460,50563,9897,41251,18220,23031,27356,11430,15926,13895,6790,7105
`16,`000,STATE - TRIPURA,`01,`000,`0000,"Crop and animal production, hunting and related service activities",7496,5231,2265,5724,3838,1886,1772,1393,379,1956,797,1159,1556,634,922,400,163,237
`16,`000,STATE - TRIPURA,`01,`011,`0000,Growing of non-perennial crops,717,659,58,316,286,30,401,373,28,281,192,89,206,134,72,75,58,17
`16,`000,STATE - TRIPURA,`01,`011,`0111,"Growing of cereals (except rice), leguminous crops and oil seeds",6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
`16,`000,STATE - TRIPURA,`01,`011,`0112,Growing of rice,655,615,40,298,274,24,357,341,16,244,161,83,176,110,66,68,51,17
`16,`000,STATE - TRIPURA,`01,`011,`0113,"Growing of vegetables and melons, roots and tubers",36,21,15,6,0,6,30,21,9,29,23,6,24,18,6,5,5,0
`16,`000,STATE - TRIPURA,`01,`011,`0119,Growing of other non-perennial crop,20,17,3,6,6,0,14,11,3,8,8,0,6,6,0,2,2,0
`16,`000,STATE - TRIPURA,`01,`012,`0000,Growing of perennial crops,4880,3278,1602,4250,2798,1452,630,480,150,748,406,342,630,356,274,118,50,68
`16,`000,STATE - TRIPURA,`01,`012,`0122,Growing of tropical and subtropical fruits,12,12,0,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0
`16,`000,STATE - TRIPURA,`01,`012,`0125,Growing of other tree and bush fruits and nuts,26,18,8,24,18,6,2,0,2,0,0,0,0,0,0,0,0,0
`16,`000,STATE - TRIPURA,`01,`012,`0126,Growing of oleaginous fruits,9,6,3,6,6,0,3,0,3,0,0,0,0,0,0,0,0,0
