State Code,District Code,India/States,Division,Group,Class,NIC Name,Main Workers - Total -  Persons,Main Workers - Total - Males,Main Workers - Total - Females,Main Workers - Rural -  Persons,Main Workers - Rural - Males,Main Workers - Rural - Females,Main Workers - Urban -  Persons,Main Workers - Urban - Males,Main Workers - Urban - Females,Marginal Workers - Total -  Persons,Marginal Workers - Total - Males,Marginal Workers - Total - Females,Marginal Workers - Rural -  Persons,Marginal Workers - Rural - Males,Marginal Workers - Rural - Females,Marginal Workers - Urban -  Persons,Marginal Workers - Urban - Males,Marginal Workers - Urban - Females
`20,`000,STATE - JHARKHAND,`00,`000,`0000,Total,382164,306058,76106,209095,162863,46232,173069,143195,29874,218368,142235,76133,167089,104781,62308,51279,37454,13825
`20,`000,STATE - JHARKHAND,`01,`000,`0000,"Crop and animal production, hunting and related service activities",3821,2846,975,3006,2147,859,815,699,116,6549,2975,3574,6003,2682,3321,546,293,253
`20,`000,STATE - JHARKHAND,`01,`011,`0000,Growing of non-perennial crops,79,71,8,60,56,4,19,15,4,133,64,69,109,55,54,24,9,15
`20,`000,STATE - JHARKHAND,`01,`011,`0111,"Growing of cereals (except rice), leguminous crops and oil seeds",29,25,4,27,25,2,2,0,2,43,25,18,37,25,12,6,0,6
`20,`000,STATE - JHARKHAND,`01,`011,`0112,Growing of rice,3,3,0,3,3,0,0,0,0,16,1,15,16,1,15,0,0,0
`20,`000,STATE - JHARKHAND,`01,`011,`0113,"Growing of vegetables and melons, roots and tubers",24,22,2,24,22,2,0,0,0,74,38,36,56,29,27,18,9,9
`20,`000,STATE - JHARKHAND,`01,`011,`0119,Growing of other non-perennial crop,23,21,2,6,6,0,17,15,2,0,0,0,0,0,0,0,0,0
`20,`000,STATE - JHARKHAND,`01,`012,`0000,Growing of perennial crops,20,19,1,14,13,1,6,6,0,16,14,2,11,9,2,5,5,0
`20,`000,STATE - JHARKHAND,`01,`012,`0122,Growing of tropical and subtropical fruits,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
`20,`000,STATE - JHARKHAND,`01,`012,`0123,Growing of citrus fruits,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
`20,`000,STATE - JHARKHAND,`01,`012,`0125,Growing of other tree and bush fruits and nuts,2,2,0,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0
`20,`000,STATE - JHARKHAND,`01,`012,`0126,Growing of oleaginous fruits,0,0,0,0,0,0,0,0,0,6,6,0,6,6,0,0,0,0
`20,`000,STATE - JHARKHAND,`01,`012,`0127,Growing of beverage crops,12,11,1,9,8,1,3,3,0,1,1,0,1,1,0,0,0,0
`20,`000,STATE - JHARKHAND,`01,`012,`0128,"Growing of spices, aromatic, drug and pharmaceutical crops",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
`20,`000,STATE - JHARKHAND,`01,`012,`0129,Growing of other perennial crops,5,5,0,2,2,0,3,3,0,5,4,1,2,1,1,3,3,0
`20,`000,STATE - JHARKHAND,`01,`013,`0000,Plant propagation,128,118,10,53,47,6,75,71,4,69,56,13,41,34,7,28,22,6
`20,`000,STATE - JHARKHAND,`01,`013,`0130,Plant propagation,128,118,10,53,47,6,75,71,4,69,56,13,41,34,7,28,22,6
`20,`000,STATE - JHARKHAND,`01,`014,`0000,Animal production,1877,1239,638,1563,984,579,314,255,59,2905,1230,1675,2726,1159,1567,179,71,108
`20,`000,STATE - JHARKHAND,`01,`014,`0141,Raising of cattle and buffaloes,1292,919,373,1080,745,335,212,174,38,1736,854,882,1653,811,842,83,43,40
`20,`000,STATE - JHARKHAND,`01,`014,`0143,Raising and breeding of camels and camelids,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
`20,`000,STATE - JHARKHAND,`01,`014,`0144,Raising of sheep and goats,325,118,207,299,111,188,26,7,19,912,271,641,866,259,607,46,12,34
`20,`000,STATE - JHARKHAND,`01,`014,`0145,Raising of swine/pigs,96,55,41,80,41,39,16,14,2,151,39,112,119,38,81,32,1,31
`20,`000,STATE - JHARKHAND,`01,`014,`0146,Raising of poultry,131,121,10,83,73,10,48,48,0,93,56,37,75,41,34,18,15,3
`20,`000,STATE - JHARKHAND,`01,`014,`0149,Raising of other animals,33,26,7,21,14,7,12,12,0,12,10,2,12,10,2,0,0,0
`20,`000,STATE - JHARKHAND,`01,`015,`0000,Mixed farming,42,36,6,42,36,6,0,0,0,95,37,58,92,37,55,3,0,3
`20,`000,STATE - JHARKHAND,`01,`015,`0150,Mixed farming,42,36,6,42,36,6,0,0,0,95,37,58,92,37,55,3,0,3
`20,`000,STATE - JHARKHAND,`01,`016,`0000,Support activities to agriculture and post-harvest crop activities,1673,1361,312,1272,1009,263,401,352,49,3326,1569,1757,3019,1383,1636,307,186,121
`20,`000,STATE - JHARKHAND,`01,`016,`0161,Support activities for crop production,282,250,32,198,171,27,84,79,5,419,238,181,408,227,181,11,11,0
`20,`000,STATE - JHARKHAND,`01,`016,`0162,Support activities for animal production,12,12,0,12,12,0,0,0,0,1,0,1,1,0,1,0,0,0
`20,`000,STATE - JHARKHAND,`01,`016,`0163,Post-harvest crop activities,1376,1096,280,1062,826,236,314,270,44,2906,1331,1575,2610,1156,1454,296,175,121
`20,`000,STATE - JHARKHAND,`01,`016,`0164,Seed processing for propagation,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
`20,`000,STATE - JHARKHAND,`01,`017,`0000,"Hunting, trapping and related service activities",2,2,0,2,2,0,0,0,0,5,5,0,5,5,0,0,0,0
`20,`000,STATE - JHARKHAND,`01,`017,`0170,"Hunting, trapping and related service activities",2,2,0,2,2,0,0,0,0,5,5,0,5,5,0,0,0,0
`20,`000,STATE - JHARKHAND,`02,`000,`0000,Forestry and logging,941,783,158,570,463,107,371,320,51,645,260,385,560,243,317,85,17,68
`20,`000,STATE - JHARKHAND,`02,`021,`0000,Silviculture and other forestry activities,148,131,17,78,73,5,70,58,12,85,23,62,81,23,58,4,0,4
`20,`000,STATE - JHARKHAND,`02,`021,`0210,Silviculture and other forestry activities,148,131,17,78,73,5,70,58,12,85,23,62,81,23,58,4,0,4
`20,`000,STATE - JHARKHAND,`02,`022,`0000,Logging,274,164,110,211,121,90,63,43,20,425,158,267,373,152,221,52,6,46
`20,`000,STATE - JHARKHAND,`02,`022,`0220,Logging,274,164,110,211,121,90,63,43,20,425,158,267,373,152,221,52,6,46
`20,`000,STATE - JHARKHAND,`02,`023,`0000,Gathering of non-wood forest products,32,28,4,17,13,4,15,15,0,76,37,39,68,37,31,8,0,8
`20,`000,STATE - JHARKHAND,`02,`023,`0230,Gathering of non-wood forest products,32,28,4,17,13,4,15,15,0,76,37,39,68,37,31,8,0,8
`20,`000,STATE - JHARKHAND,`02,`024,`0000,Support services to forestry,487,460,27,264,256,8,223,204,19,59,42,17,38,31,7,21,11,10
`20,`000,STATE - JHARKHAND,`02,`024,`0240,Support services to forestry,487,460,27,264,256,8,223,204,19,59,42,17,38,31,7,21,11,10
`20,`000,STATE - JHARKHAND,`03,`000,`0000,Fishing and aquaculture,669,591,78,458,428,30,211,163,48,496,446,50,441,399,42,55,47,8
`20,`000,STATE - JHARKHAND,`03,`031,`0000,Fishing,356,303,53,212,202,10,144,101,43,248,211,37,220,189,31,28,22,6
`20,`000,STATE - JHARKHAND,`03,`031,`0311,Marine fishing,139,105,34,72,62,10,67,43,24,122,100,22,113,91,22,9,9,0
`20,`000,STATE - JHARKHAND,`03,`031,`0312,Freash water fishing,217,198,19,140,140,0,77,58,19,126,111,15,107,98,9,19,13,6
`20,`000,STATE - JHARKHAND,`03,`032,`0000,Aquaculture,313,288,25,246,226,20,67,62,5,248,235,13,221,210,11,27,25,2
`20,`000,STATE - JHARKHAND,`03,`032,`0321,Marine aquaculture,49,44,5,37,37,0,12,7,5,8,8,0,8,8,0,0,0,0
`20,`000,STATE - JHARKHAND,`03,`032,`0322,Freshwater aquaculture,264,244,20,209,189,20,55,55,0,240,227,13,213,202,11,27,25,2
`20,`000,STATE - JHARKHAND,`05,`000,`0000,Mining of coal and lignite,28869,25637,3232,8388,7412,976,20481,18225,2256,2466,1758,708,1453,940,513,1013,818,195
`20,`000,STATE - JHARKHAND,`05,`051,`0000,Mining of hard coal,28735,25522,3213,8352,7378,974,20383,18144,2239,2390,1705,685,1401,905,496,989,800,189
`20,`000,STATE - JHARKHAND,`05,`051,`0510,Mining of hard coal,28735,25522,3213,8352,7378,974,20383,18144,2239,2390,1705,685,1401,905,496,989,800,189
`20,`000,STATE - JHARKHAND,`05,`052,`0000,Mining of lignite,134,115,19,36,34,2,98,81,17,76,53,23,52,35,17,24,18,6
`20,`000,STATE - JHARKHAND,`05,`052,`0520,Mining of lignite,134,115,19,36,34,2,98,81,17,76,53,23,52,35,17,24,18,6
`20,`000,STATE - JHARKHAND,`06,`000,`0000,Extraction of crude petroleum and natural gas,7,7,0,1,1,0,6,6,0,3,3,0,0,0,0,3,3,0
`20,`000,STATE - JHARKHAND,`06,`061,`0000,Extraction of crude petroleum,1,1,0,1,1,0,0,0,0,3,3,0,0,0,0,3,3,0
`20,`000,STATE - JHARKHAND,`06,`061,`0610,Extraction of crude petroleum,1,1,0,1,1,0,0,0,0,3,3,0,0,0,0,3,3,0
`20,`000,STATE - JHARKHAND,`06,`062,`0000,Extraction of natural gas,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0
`20,`000,STATE - JHARKHAND,`06,`062,`0620,Extraction of natural gas,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0
`20,`000,STATE - JHARKHAND,`07,`000,`0000,Mining of metal ores,720,661,59,272,256,16,448,405,43,79,77,2,67,65,2,12,12,0
`20,`000,STATE - JHARKHAND,`07,`071,`0000,Mining of iron ores,236,220,16,107,95,12,129,125,4,24,24,0,18,18,0,6,6,0
`20,`000,STATE - JHARKHAND,`07,`071,`0710,Mining of iron ores,236,220,16,107,95,12,129,125,4,24,24,0,18,18,0,6,6,0
`20,`000,STATE - JHARKHAND,`07,`072,`0000,Mining of non-ferrous metal ores,484,441,43,165,161,4,319,280,39,55,53,2,49,47,2,6,6,0
`20,`000,STATE - JHARKHAND,`07,`072,`0721,Mining of uranium and thorium ores,277,268,9,72,72,0,205,196,9,27,27,0,24,24,0,3,3,0
`20,`000,STATE - JHARKHAND,`07,`072,`0729,Mining of other non-ferrous metal ores,207,173,34,93,89,4,114,84,30,28,26,2,25,23,2,3,3,0
`20,`000,STATE - JHARKHAND,`08,`000,`0000,Other mining and quarrying,13099,10512,2587,10455,8235,2220,2644,2277,367,5139,3404,1735,4786,3123,1663,353,281,72
`20,`000,STATE - JHARKHAND,`08,`081,`0000,"Quarrying of stone, sand and clay",738,636,102,530,434,96,208,202,6,264,185,79,230,152,78,34,33,1
`20,`000,STATE - JHARKHAND,`08,`081,`0810,"Quarrying of stone, sand and clay",738,636,102,530,434,96,208,202,6,264,185,79,230,152,78,34,33,1
`20,`000,STATE - JHARKHAND,`08,`089,`0000,Mining and quarrying n.e.c.,12361,9876,2485,9925,7801,2124,2436,2075,361,4875,3219,1656,4556,2971,1585,319,248,71
`20,`000,STATE - JHARKHAND,`08,`089,`0891,Mining of chemical and fertilizer minerals,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
`20,`000,STATE - JHARKHAND,`08,`089,`0892,Extraction and agglomeration of peat,6,3,3,0,0,0,6,3,3,0,0,0,0,0,0,0,0,0
`20,`000,STATE - JHARKHAND,`08,`089,`0893,Extraction of salt,47,37,10,14,14,0,33,23,10,32,18,14,32,18,14,0,0,0
`20,`000,STATE - JHARKHAND,`08,`089,`0899,Other mining and quarrying n.e.c.,12307,9836,2471,9910,7787,2123,2397,2049,348,4843,3201,1642,4524,2953,1571,319,248,71
`20,`000,STATE - JHARKHAND,`09,`000,`0000,Mining support service activities,26,24,2,3,3,0,23,21,2,6,6,0,0,0,0,6,6,0
`20,`000,STATE - JHARKHAND,`09,`091,`0000,Support activities for petroleum and natural gas mining,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
`20,`000,STATE - JHARKHAND,`09,`091,`0910,Support activities for petroleum and natural gas mining,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
`20,`000,STATE - JHARKHAND,`09,`099,`0000,Support activities for other mining and quarrying,23,21,2,3,3,0,20,18,2,6,6,0,0,0,0,6,6,0
`20,`000,STATE - JHARKHAND,`09,`099,`0990,Support activities for other mining and quarrying,23,21,2,3,3,0,20,18,2,6,6,0,0,0,0,6,6,0
`20,`000,STATE - JHARKHAND,`10,`000,`0000,Manufacture of food products,2643,1977,666,1856,1329,527,787,648,139,2324,1123,1201,1970,913,1057,354,210,144
`20,`000,STATE - JHARKHAND,`10,`101,`0000,Processing and preserving of meat,72,34,38,52,22,30,20,12,8,150,63,87,99,33,66,51,30,21
`20,`000,STATE - JHARKHAND,`10,`101,`1010,Processing and preserving of meat,72,34,38,52,22,30,20,12,8,150,63,87,99,33,66,51,30,21
`20,`000,STATE - JHARKHAND,`10,`102,`0000,"Processing and preserving of fish, crustaceans and molluscs",40,33,7,40,33,7,0,0,0,75,49,26,33,22,11,42,27,15
`20,`000,STATE - JHARKHAND,`10,`102,`1020,"Processing and preserving of fish, crustaceans and molluscs and",40,33,7,40,33,7,0,0,0,75,49,26,33,22,11,42,27,15
