State Code,District Code,India/States,Division,Group,Class,NIC Name,Main Workers - Total -  Persons,Main Workers - Total - Males,Main Workers - Total - Females,Main Workers - Rural -  Persons,Main Workers - Rural - Males,Main Workers - Rural - Females,Main Workers - Urban -  Persons,Main Workers - Urban - Males,Main Workers - Urban - Females,Marginal Workers - Total -  Persons,Marginal Workers - Total - Males,Marginal Workers - Total - Females,Marginal Workers - Rural -  Persons,Marginal Workers - Rural - Males,Marginal Workers - Rural - Females,Marginal Workers - Urban -  Persons,Marginal Workers - Urban - Males,Marginal Workers - Urban - Females
`24,`000,STATE - GUJARAT,`00,`000,`0000,Total,772722,636424,136298,224508,183234,41274,548214,453190,95024,99236,51750,47486,45145,18836,26309,54091,32914,21177
`24,`000,STATE - GUJARAT,`01,`000,`0000,"Crop and animal production, hunting and related service activities",14254,5999,8255,11509,3911,7598,2745,2088,657,9928,1404,8524,9354,1160,8194,574,244,330
`24,`000,STATE - GUJARAT,`01,`011,`0000,Growing of non-perennial crops,102,85,17,63,51,12,39,34,5,42,22,20,33,13,20,9,9,0
`24,`000,STATE - GUJARAT,`01,`011,`0111,"Growing of cereals (except rice), leguminous crops and oil seeds",20,20,0,13,13,0,7,7,0,18,12,6,12,6,6,6,6,0
`24,`000,STATE - GUJARAT,`01,`011,`0113,"Growing of vegetables and melons, roots and tubers",40,32,8,26,20,6,14,12,2,7,1,6,7,1,6,0,0,0
`24,`000,STATE - GUJARAT,`01,`011,`0114,Growing of sugar cane,6,3,3,0,0,0,6,3,3,0,0,0,0,0,0,0,0,0
`24,`000,STATE - GUJARAT,`01,`011,`0115,Growing of tobacco,12,6,6,12,6,6,0,0,0,2,0,2,2,0,2,0,0,0
`24,`000,STATE - GUJARAT,`01,`011,`0116,Growing of fibre crops,9,9,0,6,6,0,3,3,0,9,3,6,6,0,6,3,3,0
`24,`000,STATE - GUJARAT,`01,`011,`0119,Growing of other non-perennial crop,15,15,0,6,6,0,9,9,0,6,6,0,6,6,0,0,0,0
`24,`000,STATE - GUJARAT,`01,`012,`0000,Growing of perennial crops,3041,2418,623,1727,1345,382,1314,1073,241,1406,578,828,1200,493,707,206,85,121
`24,`000,STATE - GUJARAT,`01,`012,`0122,Growing of tropical and subtropical fruits,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
`24,`000,STATE - GUJARAT,`01,`012,`0125,Growing of other tree and bush fruits and nuts,6,6,0,6,6,0,0,0,0,2,0,2,2,0,2,0,0,0
`24,`000,STATE - GUJARAT,`01,`012,`0126,Growing of oleaginous fruits,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
`24,`000,STATE - GUJARAT,`01,`012,`0128,"Growing of spices, aromatic, drug and pharmaceutical crops",6,3,3,0,0,0,6,3,3,0,0,0,0,0,0,0,0,0
`24,`000,STATE - GUJARAT,`01,`012,`0129,Growing of other perennial crops,3020,2403,617,1715,1333,382,1305,1070,235,1404,578,826,1198,493,705,206,85,121
`24,`000,STATE - GUJARAT,`01,`013,`0000,Plant propagation,118,96,22,69,55,14,49,41,8,21,15,6,12,6,6,9,9,0
`24,`000,STATE - GUJARAT,`01,`013,`0130,Plant propagation,118,96,22,69,55,14,49,41,8,21,15,6,12,6,6,9,9,0
`24,`000,STATE - GUJARAT,`01,`014,`0000,Animal production,8674,1463,7211,8168,1162,7006,506,301,205,7835,429,7406,7675,372,7303,160,57,103
`24,`000,STATE - GUJARAT,`01,`014,`0141,Raising of cattle and buffaloes,8222,1117,7105,7800,881,6919,422,236,186,7698,394,7304,7542,337,7205,156,57,99
`24,`000,STATE - GUJARAT,`01,`014,`0142,Raising of horses and other equines,12,10,2,0,0,0,12,10,2,0,0,0,0,0,0,0,0,0
`24,`000,STATE - GUJARAT,`01,`014,`0144,Raising of sheep and goats,339,256,83,319,244,75,20,12,8,130,35,95,126,35,91,4,0,4
`24,`000,STATE - GUJARAT,`01,`014,`0146,Raising of poultry,92,74,18,49,37,12,43,37,6,7,0,7,7,0,7,0,0,0
