State Code,District Code,India/States,Division,Group,Class,NIC Name,Main Workers - Total -  Persons,Main Workers - Total - Males,Main Workers - Total - Females,Main Workers - Rural -  Persons,Main Workers - Rural - Males,Main Workers - Rural - Females,Main Workers - Urban -  Persons,Main Workers - Urban - Males,Main Workers - Urban - Females,Marginal Workers - Total -  Persons,Marginal Workers - Total - Males,Marginal Workers - Total - Females,Marginal Workers - Rural -  Persons,Marginal Workers - Rural - Males,Marginal Workers - Rural - Females,Marginal Workers - Urban -  Persons,Marginal Workers - Urban - Males,Marginal Workers - Urban - Females
`27,`000,STATE - MAHARASHTRA,`00,`000,`0000,Total,2280899,1728173,552726,562220,422486,139734,1718679,1305687,412992,292200,177937,114263,97675,56171,41504,194525,121766,72759
`27,`000,STATE - MAHARASHTRA,`01,`000,`0000,"Crop and animal production, hunting and related service activities",11447,8460,2987,8572,6254,2318,2875,2206,669,2106,1138,968,1710,908,802,396,230,166
`27,`000,STATE - MAHARASHTRA,`01,`011,`0000,Growing of non-perennial crops,81,70,11,36,34,2,45,36,9,9,5,4,5,3,2,4,2,2
`27,`000,STATE - MAHARASHTRA,`01,`011,`0111,"Growing of cereals (except rice), leguminous crops and oil seeds",46,42,4,18,18,0,28,24,4,4,2,2,0,0,0,4,2,2
`27,`000,STATE - MAHARASHTRA,`01,`011,`0113,"Growing of vegetables and melons, roots and tubers",21,16,5,15,13,2,6,3,3,1,1,0,1,1,0,0,0,0
`27,`000,STATE - MAHARASHTRA,`01,`011,`0114,Growing of sugar cane,0,0,0,0,0,0,0,0,0,4,2,2,4,2,2,0,0,0
`27,`000,STATE - MAHARASHTRA,`01,`011,`0116,Growing of fibre crops,9,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0
`27,`000,STATE - MAHARASHTRA,`01,`011,`0119,Growing of other non-perennial crop,5,3,2,3,3,0,2,0,2,0,0,0,0,0,0,0,0,0
`27,`000,STATE - MAHARASHTRA,`01,`012,`0000,Growing of perennial crops,57,27,30,26,12,14,31,15,16,14,6,8,2,0,2,12,6,6
`27,`000,STATE - MAHARASHTRA,`01,`012,`0121,Growing of grapes,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
`27,`000,STATE - MAHARASHTRA,`01,`012,`0122,Growing of tropical and subtropical fruits,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
`27,`000,STATE - MAHARASHTRA,`01,`012,`0125,Growing of other tree and bush fruits and nuts,11,0,11,8,0,8,3,0,3,2,0,2,2,0,2,0,0,0
`27,`000,STATE - MAHARASHTRA,`01,`012,`0127,Growing of beverage crops,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0
`27,`000,STATE - MAHARASHTRA,`01,`012,`0128,"Growing of spices, aromatic, drug and pharmaceutical crops",15,6,9,3,3,0,12,3,9,12,6,6,0,0,0,12,6,6
`27,`000,STATE - MAHARASHTRA,`01,`012,`0129,Growing of other perennial crops,21,15,6,11,9,2,10,6,4,0,0,0,0,0,0,0,0,0
`27,`000,STATE - MAHARASHTRA,`01,`013,`0000,Plant propagation,271,152,119,136,72,64,135,80,55,68,31,37,57,31,26,11,0,11
`27,`000,STATE - MAHARASHTRA,`01,`013,`0130,Plant propagation,271,152,119,136,72,64,135,80,55,68,31,37,57,31,26,11,0,11
`27,`000,STATE - MAHARASHTRA,`01,`014,`0000,Animal production,9780,7263,2517,7842,5717,2125,1938,1546,392,1810,995,815,1540,818,722,270,177,93
`27,`000,STATE - MAHARASHTRA,`01,`014,`0141,Raising of cattle and buffaloes,5055,3665,1390,3948,2750,1198,1107,915,192,1069,602,467,921,489,432,148,113,35
`27,`000,STATE - MAHARASHTRA,`01,`014,`0142,Raising of horses and other equines,30,24,6,6,6,0,24,18,6,12,12,0,6,6,0,6,6,0
`27,`000,STATE - MAHARASHTRA,`01,`014,`0143,Raising and breeding of camels and camelids,23,14,9,23,14,9,0,0,0,0,0,0,0,0,0,0,0,0
`27,`000,STATE - MAHARASHTRA,`01,`014,`0144,Raising of sheep and goats,3422,2653,769,2933,2304,629,489,349,140,536,300,236,470,272,198,66,28,38
`27,`000,STATE - MAHARASHTRA,`01,`014,`0145,Raising of swine/pigs,37,27,10,14,6,8,23,21,2,12,9,3,3,0,3,9,9,0
