State Code,District Code,India/States,Division,Group,Class,NIC Name,Main Workers - Total -  Persons,Main Workers - Total - Males,Main Workers - Total - Females,Main Workers - Rural -  Persons,Main Workers - Rural - Males,Main Workers - Rural - Females,Main Workers - Urban -  Persons,Main Workers - Urban - Males,Main Workers - Urban - Females,Marginal Workers - Total -  Persons,Marginal Workers - Total - Males,Marginal Workers - Total - Females,Marginal Workers - Rural -  Persons,Marginal Workers - Rural - Males,Marginal Workers - Rural - Females,Marginal Workers - Urban -  Persons,Marginal Workers - Urban - Males,Marginal Workers - Urban - Females
`29,`000,STATE - KARNATAKA,`00,`000,`0000,Total,1755235,1227445,527790,826264,560112,266152,928971,667333,261638,352509,194872,157637,212057,111508,100549,140452,83364,57088
`29,`000,STATE - KARNATAKA,`01,`000,`0000,"Crop and animal production, hunting and related service activities",208166,117269,90897,184809,103335,81474,23357,13934,9423,61683,28359,33324,55076,25340,29736,6607,3019,3588
`29,`000,STATE - KARNATAKA,`01,`011,`0000,Growing of non-perennial crops,17862,10992,6870,12786,7631,5155,5076,3361,1715,11453,5409,6044,9980,4696,5284,1473,713,760
`29,`000,STATE - KARNATAKA,`01,`011,`0111,"Growing of cereals (except rice), leguminous crops and oil seeds",13755,8496,5259,9729,5827,3902,4026,2669,1357,8852,4188,4664,7872,3723,4149,980,465,515
`29,`000,STATE - KARNATAKA,`01,`011,`0112,Growing of rice,2746,1693,1053,1961,1159,802,785,534,251,1905,877,1028,1558,694,864,347,183,164
`29,`000,STATE - KARNATAKA,`01,`011,`0113,"Growing of vegetables and melons, roots and tubers",509,299,210,307,181,126,202,118,84,255,96,159,231,93,138,24,3,21
`29,`000,STATE - KARNATAKA,`01,`011,`0114,Growing of sugar cane,710,455,255,672,429,243,38,26,12,336,212,124,217,153,64,119,59,60
`29,`000,STATE - KARNATAKA,`01,`011,`0115,Growing of tobacco,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0
`29,`000,STATE - KARNATAKA,`01,`011,`0116,Growing of fibre crops,10,2,8,2,0,2,8,2,6,0,0,0,0,0,0,0,0,0
`29,`000,STATE - KARNATAKA,`01,`011,`0119,Growing of other non-perennial crop,132,47,85,115,35,80,17,12,5,102,33,69,102,33,69,0,0,0
`29,`000,STATE - KARNATAKA,`01,`012,`0000,Growing of perennial crops,112632,60649,51983,109209,58963,50246,3423,1686,1737,8154,3286,4868,7667,3108,4559,487,178,309
`29,`000,STATE - KARNATAKA,`01,`012,`0121,Growing of grapes,192,105,87,179,102,77,13,3,10,70,40,30,70,40,30,0,0,0
`29,`000,STATE - KARNATAKA,`01,`012,`0122,Growing of tropical and subtropical fruits,71,45,26,65,39,26,6,6,0,36,12,24,36,12,24,0,0,0
`29,`000,STATE - KARNATAKA,`01,`012,`0123,Growing of citrus fruits,5,0,5,3,0,3,2,0,2,0,0,0,0,0,0,0,0,0
`29,`000,STATE - KARNATAKA,`01,`012,`0124,Growing of pome fruits and stone fruits,0,0,0,0,0,0,0,0,0,6,0,6,6,0,6,0,0,0
`29,`000,STATE - KARNATAKA,`01,`012,`0125,Growing of other tree and bush fruits and nuts,23158,15609,7549,22179,15056,7123,979,553,426,2939,1071,1868,2701,986,1715,238,85,153
`29,`000,STATE - KARNATAKA,`01,`012,`0126,Growing of oleaginous fruits,2723,1983,740,2388,1748,640,335,235,100,402,276,126,374,261,113,28,15,13
`29,`000,STATE - KARNATAKA,`01,`012,`0127,Growing of beverage crops,84235,41429,42806,82262,40596,41666,1973,833,1140,4407,1755,2652,4214,1697,2517,193,58,135
`29,`000,STATE - KARNATAKA,`01,`012,`0128,"Growing of spices, aromatic, drug and pharmaceutical crops",210,106,104,178,100,78,32,6,26,44,14,30,32,8,24,12,6,6
`29,`000,STATE - KARNATAKA,`01,`012,`0129,Growing of other perennial crops,2038,1372,666,1955,1322,633,83,50,33,250,118,132,234,104,130,16,14,2
`29,`000,STATE - KARNATAKA,`01,`013,`0000,Plant propagation,1536,971,565,1023,612,411,513,359,154,279,157,122,213,122,91,66,35,31
`29,`000,STATE - KARNATAKA,`01,`013,`0130,Plant propagation,1536,971,565,1023,612,411,513,359,154,279,157,122,213,122,91,66,35,31
`29,`000,STATE - KARNATAKA,`01,`014,`0000,Animal production,21102,13123,7979,18910,11608,7302,2192,1515,677,7826,3689,4137,7400,3436,3964,426,253,173
`29,`000,STATE - KARNATAKA,`01,`014,`0141,Raising of cattle and buffaloes,8887,4732,4155,8068,4202,3866,819,530,289,4133,1734,2399,3904,1608,2296,229,126,103
`29,`000,STATE - KARNATAKA,`01,`014,`0142,Raising of horses and other equines,82,60,22,52,36,16,30,24,6,17,12,5,17,12,5,0,0,0
`29,`000,STATE - KARNATAKA,`01,`014,`0143,Raising and breeding of camels and camelids,12,12,0,12,12,0,0,0,0,2,0,2,2,0,2,0,0,0
`29,`000,STATE - KARNATAKA,`01,`014,`0144,Raising of sheep and goats,8523,5934,2589,8014,5600,2414,509,334,175,2788,1557,1231,2653,1476,1177,135,81,54
`29,`000,STATE - KARNATAKA,`01,`014,`0145,Raising of swine/pigs,694,550,144,379,275,104,315,275,40,86,56,30,74,44,30,12,12,0
`29,`000,STATE - KARNATAKA,`01,`014,`0146,Raising of poultry,1692,1077,615,1460,902,558,232,175,57,488,191,297,460,169,291,28,22,6
`29,`000,STATE - KARNATAKA,`01,`014,`0149,Raising of other animals,1212,758,454,925,581,344,287,177,110,312,139,173,290,127,163,22,12,10
`29,`000,STATE - KARNATAKA,`01,`015,`0000,Mixed farming,16,10,6,14,8,6,2,2,0,0,0,0,0,0,0,0,0,0
`29,`000,STATE - KARNATAKA,`01,`015,`0150,Mixed farming,16,10,6,14,8,6,2,2,0,0,0,0,0,0,0,0,0,0
`29,`000,STATE - KARNATAKA,`01,`016,`0000,Support activities to agriculture and post-harvest crop activities,55009,31515,23494,42858,24504,18354,12151,7011,5140,33959,15806,18153,29804,13966,15838,4155,1840,2315
`29,`000,STATE - KARNATAKA,`01,`016,`0161,Support activities for crop production,25200,14734,10466,20128,11712,8416,5072,3022,2050,16485,7761,8724,14746,6985,7761,1739,776,963
`29,`000,STATE - KARNATAKA,`01,`016,`0162,Support activities for animal production,13,9,4,9,9,0,4,0,4,18,0,18,18,0,18,0,0,0
`29,`000,STATE - KARNATAKA,`01,`016,`0163,Post-harvest crop activities,29611,16684,12927,22616,12753,9863,6995,3931,3064,17423,8033,9390,15007,6969,8038,2416,1064,1352
`29,`000,STATE - KARNATAKA,`01,`016,`0164,Seed processing for propagation,185,88,97,105,30,75,80,58,22,33,12,21,33,12,21,0,0,0
`29,`000,STATE - KARNATAKA,`01,`017,`0000,"Hunting, trapping and related service activities",9,9,0,9,9,0,0,0,0,12,12,0,12,12,0,0,0,0
`29,`000,STATE - KARNATAKA,`01,`017,`0170,"Hunting, trapping and related service activities",9,9,0,9,9,0,0,0,0,12,12,0,12,12,0,0,0,0
`29,`000,STATE - KARNATAKA,`02,`000,`0000,Forestry and logging,5278,4657,621,3828,3361,467,1450,1296,154,1290,958,332,1048,753,295,242,205,37
`29,`000,STATE - KARNATAKA,`02,`021,`0000,Silviculture and other forestry activities,177,135,42,115,92,23,62,43,19,35,23,12,33,21,12,2,2,0
`29,`000,STATE - KARNATAKA,`02,`021,`0210,Silviculture and other forestry activities,177,135,42,115,92,23,62,43,19,35,23,12,33,21,12,2,2,0
`29,`000,STATE - KARNATAKA,`02,`022,`0000,Logging,3445,3017,428,2547,2204,343,898,813,85,1073,779,294,885,626,259,188,153,35
`29,`000,STATE - KARNATAKA,`02,`022,`0220,Logging,3445,3017,428,2547,2204,343,898,813,85,1073,779,294,885,626,259,188,153,35
`29,`000,STATE - KARNATAKA,`02,`023,`0000,Gathering of non-wood forest products,233,185,48,174,136,38,59,49,10,49,39,10,35,27,8,14,12,2
`29,`000,STATE - KARNATAKA,`02,`023,`0230,Gathering of non-wood forest products,233,185,48,174,136,38,59,49,10,49,39,10,35,27,8,14,12,2
`29,`000,STATE - KARNATAKA,`02,`024,`0000,Support services to forestry,1423,1320,103,992,929,63,431,391,40,133,117,16,95,79,16,38,38,0
`29,`000,STATE - KARNATAKA,`02,`024,`0240,Support services to forestry,1423,1320,103,992,929,63,431,391,40,133,117,16,95,79,16,38,38,0
`29,`000,STATE - KARNATAKA,`03,`000,`0000,Fishing and aquaculture,6253,5717,536,5517,5045,472,736,672,64,589,486,103,460,389,71,129,97,32
`29,`000,STATE - KARNATAKA,`03,`031,`0000,Fishing,6002,5512,490,5316,4866,450,686,646,40,541,455,86,421,367,54,120,88,32
`29,`000,STATE - KARNATAKA,`03,`031,`0311,Marine fishing,4168,4034,134,3777,3663,114,391,371,20,233,218,15,206,200,6,27,18,9
`29,`000,STATE - KARNATAKA,`03,`031,`0312,Freash water fishing,1834,1478,356,1539,1203,336,295,275,20,308,237,71,215,167,48,93,70,23
