State Code,District Code,India/States,Division,Group,Class,NIC Name,Main Workers - Total -  Persons,Main Workers - Total - Males,Main Workers - Total - Females,Main Workers - Rural -  Persons,Main Workers - Rural - Males,Main Workers - Rural - Females,Main Workers - Urban -  Persons,Main Workers - Urban - Males,Main Workers - Urban - Females,Marginal Workers - Total -  Persons,Marginal Workers - Total - Males,Marginal Workers - Total - Females,Marginal Workers - Rural -  Persons,Marginal Workers - Rural - Males,Marginal Workers - Rural - Females,Marginal Workers - Urban -  Persons,Marginal Workers - Urban - Males,Marginal Workers - Urban - Females
`30,`000,STATE - GOA,`00,`000,`0000,Total,7573,5536,2037,2342,1764,578,5231,3772,1459,1784,1025,759,820,456,364,964,569,395
`30,`000,STATE - GOA,`01,`000,`0000,"Crop and animal production, hunting and related service activities",12,8,4,6,2,4,6,6,0,9,9,0,6,6,0,3,3,0
`30,`000,STATE - GOA,`01,`014,`0000,Animal production,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
`30,`000,STATE - GOA,`01,`014,`0141,Raising of cattle and buffaloes,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
`30,`000,STATE - GOA,`01,`016,`0000,Support activities to agriculture and post-harvest crop activities,8,8,0,2,2,0,6,6,0,9,9,0,6,6,0,3,3,0
`30,`000,STATE - GOA,`01,`016,`0161,Support activities for crop production,5,5,0,2,2,0,3,3,0,9,9,0,6,6,0,3,3,0
`30,`000,STATE - GOA,`01,`016,`0163,Post-harvest crop activities,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
`30,`000,STATE - GOA,`02,`000,`0000,Forestry and logging,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
`30,`000,STATE - GOA,`02,`024,`0000,Support services to forestry,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
`30,`000,STATE - GOA,`02,`024,`0240,Support services to forestry,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
`30,`000,STATE - GOA,`03,`000,`0000,Fishing and aquaculture,13,13,0,10,10,0,3,3,0,0,0,0,0,0,0,0,0,0
`30,`000,STATE - GOA,`03,`031,`0000,Fishing,13,13,0,10,10,0,3,3,0,0,0,0,0,0,0,0,0,0
`30,`000,STATE - GOA,`03,`031,`0311,Marine fishing,13,13,0,10,10,0,3,3,0,0,0,0,0,0,0,0,0,0
`30,`000,STATE - GOA,`05,`000,`0000,Mining of coal and lignite,27,21,6,0,0,0,27,21,6,3,0,3,0,0,0,3,0,3
`30,`000,STATE - GOA,`05,`051,`0000,Mining of hard coal,3,0,3,0,0,0,3,0,3,3,0,3,0,0,0,3,0,3
`30,`000,STATE - GOA,`05,`051,`0510,Mining of hard coal,3,0,3,0,0,0,3,0,3,3,0,3,0,0,0,3,0,3
`30,`000,STATE - GOA,`05,`052,`0000,Mining of lignite,24,21,3,0,0,0,24,21,3,0,0,0,0,0,0,0,0,0
`30,`000,STATE - GOA,`05,`052,`0520,Mining of lignite,24,21,3,0,0,0,24,21,3,0,0,0,0,0,0,0,0,0
`30,`000,STATE - GOA,`07,`000,`0000,Mining of metal ores,81,76,5,30,28,2,51,48,3,22,16,6,16,16,0,6,0,6
`30,`000,STATE - GOA,`07,`071,`0000,Mining of iron ores,60,58,2,18,16,2,42,42,0,16,10,6,10,10,0,6,0,6
`30,`000,STATE - GOA,`07,`071,`0710,Mining of iron ores,60,58,2,18,16,2,42,42,0,16,10,6,10,10,0,6,0,6
`30,`000,STATE - GOA,`07,`072,`0000,Mining of non-ferrous metal ores,21,18,3,12,12,0,9,6,3,6,6,0,6,6,0,0,0,0
`30,`000,STATE - GOA,`07,`072,`0729,Mining of other non-ferrous metal ores,21,18,3,12,12,0,9,6,3,6,6,0,6,6,0,0,0,0
