State Code,District Code,India/States,Division,Group,Class,NIC Name,Main Workers - Total -  Persons,Main Workers - Total - Males,Main Workers - Total - Females,Main Workers - Rural -  Persons,Main Workers - Rural - Males,Main Workers - Rural - Females,Main Workers - Urban -  Persons,Main Workers - Urban - Males,Main Workers - Urban - Females,Marginal Workers - Total -  Persons,Marginal Workers - Total - Males,Marginal Workers - Total - Females,Marginal Workers - Rural -  Persons,Marginal Workers - Rural - Males,Marginal Workers - Rural - Females,Marginal Workers - Urban -  Persons,Marginal Workers - Urban - Males,Marginal Workers - Urban - Females
`32,`000,STATE - KERALA,`00,`000,`0000,Total,772716,547815,224901,418066,290168,127898,354650,257647,97003,239251,120328,118923,141166,69499,71667,98085,50829,47256
`32,`000,STATE - KERALA,`01,`000,`0000,"Crop and animal production, hunting and related service activities",115688,84683,31005,86423,60197,26226,29265,24486,4779,35869,24121,11748,25486,16689,8797,10383,7432,2951
`32,`000,STATE - KERALA,`01,`011,`0000,Growing of non-perennial crops,2478,1474,1004,1544,901,643,934,573,361,1241,586,655,759,375,384,482,211,271
`32,`000,STATE - KERALA,`01,`011,`0111,"Growing of cereals (except rice), leguminous crops and oil seeds",31,17,14,21,9,12,10,8,2,18,15,3,15,12,3,3,3,0
`32,`000,STATE - KERALA,`01,`011,`0112,Growing of rice,1917,1092,825,1160,636,524,757,456,301,938,415,523,556,258,298,382,157,225
`32,`000,STATE - KERALA,`01,`011,`0113,"Growing of vegetables and melons, roots and tubers",339,248,91,210,168,42,129,80,49,258,140,118,172,100,72,86,40,46
`32,`000,STATE - KERALA,`01,`011,`0114,Growing of sugar cane,28,18,10,28,18,10,0,0,0,2,0,2,2,0,2,0,0,0
`32,`000,STATE - KERALA,`01,`011,`0119,Growing of other non-perennial crop,163,99,64,125,70,55,38,29,9,25,16,9,14,5,9,11,11,0
`32,`000,STATE - KERALA,`01,`012,`0000,Growing of perennial crops,101708,75777,25931,77711,54940,22771,23997,20837,3160,29206,21019,8187,21124,14691,6433,8082,6328,1754
`32,`000,STATE - KERALA,`01,`012,`0121,Growing of grapes,5,5,0,0,0,0,5,5,0,6,6,0,6,6,0,0,0,0
`32,`000,STATE - KERALA,`01,`012,`0122,Growing of tropical and subtropical fruits,1074,839,235,854,655,199,220,184,36,363,232,131,286,174,112,77,58,19
`32,`000,STATE - KERALA,`01,`012,`0123,Growing of citrus fruits,0,0,0,0,0,0,0,0,0,6,3,3,6,3,3,0,0,0
`32,`000,STATE - KERALA,`01,`012,`0124,Growing of pome fruits and stone fruits,12,9,3,9,9,0,3,0,3,3,3,0,3,3,0,0,0,0
`32,`000,STATE - KERALA,`01,`012,`0125,Growing of other tree and bush fruits and nuts,2316,1655,661,2070,1467,603,246,188,58,1023,598,425,929,536,393,94,62,32
`32,`000,STATE - KERALA,`01,`012,`0126,Growing of oleaginous fruits,44989,37171,7818,24806,19529,5277,20183,17642,2541,16424,12572,3852,9529,7126,2403,6895,5446,1449
`32,`000,STATE - KERALA,`01,`012,`0127,Growing of beverage crops,21724,10919,10805,21550,10797,10753,174,122,52,2552,1265,1287,2481,1227,1254,71,38,33
`32,`000,STATE - KERALA,`01,`012,`0128,"Growing of spices, aromatic, drug and pharmaceutical crops",1961,1031,930,1935,1016,919,26,15,11,429,231,198,423,228,195,6,3,3
`32,`000,STATE - KERALA,`01,`012,`0129,Growing of other perennial crops,29627,24148,5479,26487,21467,5020,3140,2681,459,8400,6109,2291,7461,5388,2073,939,721,218
`32,`000,STATE - KERALA,`01,`013,`0000,Plant propagation,139,73,66,93,42,51,46,31,15,31,15,16,17,12,5,14,3,11
`32,`000,STATE - KERALA,`01,`013,`0130,Plant propagation,139,73,66,93,42,51,46,31,15,31,15,16,17,12,5,14,3,11
`32,`000,STATE - KERALA,`01,`014,`0000,Animal production,4185,1710,2475,2719,1008,1711,1466,702,764,2549,559,1990,1758,387,1371,791,172,619
`32,`000,STATE - KERALA,`01,`014,`0141,Raising of cattle and buffaloes,3201,1387,1814,2015,775,1240,1186,612,574,1568,442,1126,1059,291,768,509,151,358
`32,`000,STATE - KERALA,`01,`014,`0142,Raising of horses and other equines,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0
`32,`000,STATE - KERALA,`01,`014,`0144,Raising of sheep and goats,545,60,485,404,46,358,141,14,127,579,38,541,428,38,390,151,0,151
`32,`000,STATE - KERALA,`01,`014,`0145,Raising of swine/pigs,11,9,2,10,8,2,1,1,0,0,0,0,0,0,0,0,0,0
