State Code,District Code,India/States,Division,Group,Class,NIC Name,Main Workers - Total -  Persons,Main Workers - Total - Males,Main Workers - Total - Females,Main Workers - Rural -  Persons,Main Workers - Rural - Males,Main Workers - Rural - Females,Main Workers - Urban -  Persons,Main Workers - Urban - Males,Main Workers - Urban - Females,Marginal Workers - Total -  Persons,Marginal Workers - Total - Males,Marginal Workers - Total - Females,Marginal Workers - Rural -  Persons,Marginal Workers - Rural - Males,Marginal Workers - Rural - Females,Marginal Workers - Urban -  Persons,Marginal Workers - Urban - Males,Marginal Workers - Urban - Females
`33,`000,STATE - TAMIL NADU,`00,`000,`0000,Total,2568994,1849620,719374,1120556,801901,318655,1448438,1047719,400719,450227,248895,201332,256753,137081,119672,193474,111814,81660
`33,`000,STATE - TAMIL NADU,`01,`000,`0000,"Crop and animal production, hunting and related service activities",139687,78418,61269,70583,40993,29590,69104,37425,31679,26116,13781,12335,17278,9222,8056,8838,4559,4279
`33,`000,STATE - TAMIL NADU,`01,`011,`0000,Growing of non-perennial crops,770,503,267,406,269,137,364,234,130,257,87,170,126,48,78,131,39,92
`33,`000,STATE - TAMIL NADU,`01,`011,`0111,"Growing of cereals (except rice), leguminous crops and oil seeds",88,77,11,39,33,6,49,44,5,6,3,3,3,3,0,3,0,3
`33,`000,STATE - TAMIL NADU,`01,`011,`0112,Growing of rice,12,6,6,9,3,6,3,3,0,48,24,24,0,0,0,48,24,24
`33,`000,STATE - TAMIL NADU,`01,`011,`0113,"Growing of vegetables and melons, roots and tubers",314,223,91,133,107,26,181,116,65,22,15,7,8,6,2,14,9,5
`33,`000,STATE - TAMIL NADU,`01,`011,`0114,Growing of sugar cane,173,119,54,137,93,44,36,26,10,37,29,8,31,23,8,6,6,0
`33,`000,STATE - TAMIL NADU,`01,`011,`0116,Growing of fibre crops,35,27,8,26,18,8,9,9,0,14,0,14,12,0,12,2,0,2
`33,`000,STATE - TAMIL NADU,`01,`011,`0119,Growing of other non-perennial crop,148,51,97,62,15,47,86,36,50,130,16,114,72,16,56,58,0,58
`33,`000,STATE - TAMIL NADU,`01,`012,`0000,Growing of perennial crops,64149,30628,33521,24967,12300,12667,39182,18328,20854,5250,2580,2670,2032,1109,923,3218,1471,1747
`33,`000,STATE - TAMIL NADU,`01,`012,`0121,Growing of grapes,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
`33,`000,STATE - TAMIL NADU,`01,`012,`0122,Growing of tropical and subtropical fruits,68,52,16,46,38,8,22,14,8,17,11,6,17,11,6,0,0,0
`33,`000,STATE - TAMIL NADU,`01,`012,`0124,Growing of pome fruits and stone fruits,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
`33,`000,STATE - TAMIL NADU,`01,`012,`0125,Growing of other tree and bush fruits and nuts,139,76,63,79,41,38,60,35,25,33,21,12,22,12,10,11,9,2
`33,`000,STATE - TAMIL NADU,`01,`012,`0126,Growing of oleaginous fruits,4491,3564,927,3126,2429,697,1365,1135,230,613,491,122,466,378,88,147,113,34
`33,`000,STATE - TAMIL NADU,`01,`012,`0127,Growing of beverage crops,58431,26269,32162,21422,9633,11789,37009,16636,20373,4510,1999,2511,1487,682,805,3023,1317,1706
`33,`000,STATE - TAMIL NADU,`01,`012,`0128,"Growing of spices, aromatic, drug and pharmaceutical crops",358,195,163,58,37,21,300,158,142,3,0,3,0,0,0,3,0,3
`33,`000,STATE - TAMIL NADU,`01,`012,`0129,Growing of other perennial crops,653,463,190,230,116,114,423,347,76,74,58,16,40,26,14,34,32,2
`33,`000,STATE - TAMIL NADU,`01,`013,`0000,Plant propagation,118,77,41,52,44,8,66,33,33,15,12,3,0,0,0,15,12,3
`33,`000,STATE - TAMIL NADU,`01,`013,`0130,Plant propagation,118,77,41,52,44,8,66,33,33,15,12,3,0,0,0,15,12,3
`33,`000,STATE - TAMIL NADU,`01,`014,`0000,Animal production,16416,9095,7321,12184,6730,5454,4232,2365,1867,2981,1378,1603,2375,1120,1255,606,258,348
`33,`000,STATE - TAMIL NADU,`01,`014,`0141,Raising of cattle and buffaloes,9121,4833,4288,6703,3536,3167,2418,1297,1121,1797,837,960,1445,685,760,352,152,200
`33,`000,STATE - TAMIL NADU,`01,`014,`0142,Raising of horses and other equines,73,70,3,30,30,0,43,40,3,3,3,0,0,0,0,3,3,0
`33,`000,STATE - TAMIL NADU,`01,`014,`0143,Raising and breeding of camels and camelids,6,0,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
`33,`000,STATE - TAMIL NADU,`01,`014,`0144,Raising of sheep and goats,4630,2464,2166,3643,2007,1636,987,457,530,942,395,547,765,345,420,177,50,127
`33,`000,STATE - TAMIL NADU,`01,`014,`0145,Raising of swine/pigs,364,239,125,227,149,78,137,90,47,18,5,13,15,2,13,3,3,0
`33,`000,STATE - TAMIL NADU,`01,`014,`0146,Raising of poultry,1953,1298,655,1417,905,512,536,393,143,195,123,72,136,82,54,59,41,18
`33,`000,STATE - TAMIL NADU,`01,`014,`0149,Raising of other animals,269,191,78,158,103,55,111,88,23,26,15,11,14,6,8,12,9,3
`33,`000,STATE - TAMIL NADU,`01,`015,`0000,Mixed farming,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
`33,`000,STATE - TAMIL NADU,`01,`015,`0150,Mixed farming,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
`33,`000,STATE - TAMIL NADU,`01,`016,`0000,Support activities to agriculture and post-harvest crop activities,58055,37936,20119,32829,21505,11324,25226,16431,8795,17584,9695,7889,12722,6922,5800,4862,2773,2089
`33,`000,STATE - TAMIL NADU,`01,`016,`0161,Support activities for crop production,48326,30098,18228,26370,16030,10340,21956,14068,7888,15474,8240,7234,11156,5846,5310,4318,2394,1924
