State Code,District Code,India/States,Division,Group,Class,NIC Name,Main Workers - Total -  Persons,Main Workers - Total - Males,Main Workers - Total - Females,Main Workers - Rural -  Persons,Main Workers - Rural - Males,Main Workers - Rural - Females,Main Workers - Urban -  Persons,Main Workers - Urban - Males,Main Workers - Urban - Females,Marginal Workers - Total -  Persons,Marginal Workers - Total - Males,Marginal Workers - Total - Females,Marginal Workers - Rural -  Persons,Marginal Workers - Rural - Males,Marginal Workers - Rural - Females,Marginal Workers - Urban -  Persons,Marginal Workers - Urban - Males,Marginal Workers - Urban - Females
`34,`000,STATE - PUDUCHERRY,`00,`000,`0000,Total,39807,28649,11158,14996,10914,4082,24811,17735,7076,4639,2868,1771,2212,1354,858,2427,1514,913
`34,`000,STATE - PUDUCHERRY,`01,`000,`0000,"Crop and animal production, hunting and related service activities",630,445,185,356,244,112,274,201,73,171,109,62,144,86,58,27,23,4
`34,`000,STATE - PUDUCHERRY,`01,`012,`0000,Growing of perennial crops,9,9,0,6,6,0,3,3,0,0,0,0,0,0,0,0,0,0
`34,`000,STATE - PUDUCHERRY,`01,`012,`0126,Growing of oleaginous fruits,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
`34,`000,STATE - PUDUCHERRY,`01,`012,`0127,Growing of beverage crops,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
`34,`000,STATE - PUDUCHERRY,`01,`014,`0000,Animal production,137,47,90,90,24,66,47,23,24,28,14,14,28,14,14,0,0,0
`34,`000,STATE - PUDUCHERRY,`01,`014,`0141,Raising of cattle and buffaloes,107,41,66,60,18,42,47,23,24,16,8,8,16,8,8,0,0,0
`34,`000,STATE - PUDUCHERRY,`01,`014,`0144,Raising of sheep and goats,22,0,22,22,0,22,0,0,0,12,6,6,12,6,6,0,0,0
`34,`000,STATE - PUDUCHERRY,`01,`014,`0146,Raising of poultry,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
`34,`000,STATE - PUDUCHERRY,`01,`014,`0149,Raising of other animals,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
`34,`000,STATE - PUDUCHERRY,`01,`016,`0000,Support activities to agriculture and post-harvest crop activities,484,389,95,260,214,46,224,175,49,137,89,48,116,72,44,21,17,4
`34,`000,STATE - PUDUCHERRY,`01,`016,`0161,Support activities for crop production,387,297,90,210,164,46,177,133,44,129,85,44,112,70,42,17,15,2
