State Code,District Code,India/States,Division,Group,Class,NIC Name,Main Workers - Total -  Persons,Main Workers - Total - Males,Main Workers - Total - Females,Main Workers - Rural -  Persons,Main Workers - Rural - Males,Main Workers - Rural - Females,Main Workers - Urban -  Persons,Main Workers - Urban - Males,Main Workers - Urban - Females,Marginal Workers - Total -  Persons,Marginal Workers - Total - Males,Marginal Workers - Total - Females,Marginal Workers - Rural -  Persons,Marginal Workers - Rural - Males,Marginal Workers - Rural - Females,Marginal Workers - Urban -  Persons,Marginal Workers - Urban - Males,Marginal Workers - Urban - Females
`02,`000,STATE - HIMACHAL PRADESH,`00,`000,`0000,Total,52931,41850,11081,47908,37981,9927,5023,3869,1154,15915,9514,6401,15479,9241,6238,436,273,163
`02,`000,STATE - HIMACHAL PRADESH,`01,`000,`0000,"Crop and animal production, hunting and related service activities",5530,3913,1617,5470,3875,1595,60,38,22,2169,837,1332,2169,837,1332,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`01,`011,`0000,Growing of non-perennial crops,152,95,57,138,85,53,14,10,4,222,85,137,222,85,137,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`01,`011,`0111,"Growing of cereals (except rice), leguminous crops and oil seeds",130,76,54,124,74,50,6,2,4,210,81,129,210,81,129,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`01,`011,`0113,"Growing of vegetables and melons, roots and tubers",17,17,0,11,11,0,6,6,0,12,4,8,12,4,8,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`01,`011,`0119,Growing of other non-perennial crop,5,2,3,3,0,3,2,2,0,0,0,0,0,0,0,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`01,`012,`0000,Growing of perennial crops,74,64,10,70,62,8,4,2,2,14,14,0,14,14,0,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`01,`012,`0124,Growing of pome fruits and stone fruits,44,42,2,44,42,2,0,0,0,6,6,0,6,6,0,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`01,`012,`0125,Growing of other tree and bush fruits and nuts,6,6,0,6,6,0,0,0,0,2,2,0,2,2,0,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`01,`012,`0127,Growing of beverage crops,18,12,6,18,12,6,0,0,0,6,6,0,6,6,0,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`01,`012,`0129,Growing of other perennial crops,6,4,2,2,2,0,4,2,2,0,0,0,0,0,0,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`01,`013,`0000,Plant propagation,101,84,17,101,84,17,0,0,0,6,5,1,6,5,1,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`01,`013,`0130,Plant propagation,101,84,17,101,84,17,0,0,0,6,5,1,6,5,1,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`01,`014,`0000,Animal production,4849,3382,1467,4829,3370,1459,20,12,8,1744,646,1098,1744,646,1098,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`01,`014,`0141,Raising of cattle and buffaloes,3904,2529,1375,3892,2525,1367,12,4,8,1500,494,1006,1500,494,1006,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`01,`014,`0142,Raising of horses and other equines,8,8,0,6,6,0,2,2,0,5,5,0,5,5,0,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`01,`014,`0144,Raising of sheep and goats,821,764,57,817,760,57,4,4,0,157,131,26,157,131,26,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`01,`014,`0146,Raising of poultry,2,2,0,2,2,0,0,0,0,2,2,0,2,2,0,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`01,`014,`0149,Raising of other animals,114,79,35,112,77,35,2,2,0,80,14,66,80,14,66,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`01,`015,`0000,Mixed farming,15,13,2,13,13,0,2,0,2,12,4,8,12,4,8,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`01,`015,`0150,Mixed farming,15,13,2,13,13,0,2,0,2,12,4,8,12,4,8,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`01,`016,`0000,Support activities to agriculture and post-harvest crop activities,337,273,64,317,259,58,20,14,6,171,83,88,171,83,88,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`01,`016,`0161,Support activities for crop production,150,134,16,144,128,16,6,6,0,45,18,27,45,18,27,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`01,`016,`0162,Support activities for animal production,38,32,6,38,32,6,0,0,0,3,3,0,3,3,0,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`01,`016,`0163,Post-harvest crop activities,149,107,42,135,99,36,14,8,6,121,60,61,121,60,61,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`01,`016,`0164,Seed processing for propagation,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`01,`017,`0000,"Hunting, trapping and related service activities",2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`01,`017,`0170,"Hunting, trapping and related service activities",2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`02,`000,`0000,Forestry and logging,807,741,66,753,697,56,54,44,10,98,90,8,96,88,8,2,2,0
`02,`000,STATE - HIMACHAL PRADESH,`02,`021,`0000,Silviculture and other forestry activities,84,72,12,80,70,10,4,2,2,8,4,4,8,4,4,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`02,`021,`0210,Silviculture and other forestry activities,84,72,12,80,70,10,4,2,2,8,4,4,8,4,4,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`02,`022,`0000,Logging,5,5,0,5,5,0,0,0,0,12,11,1,12,11,1,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`02,`022,`0220,Logging,5,5,0,5,5,0,0,0,0,12,11,1,12,11,1,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`02,`023,`0000,Gathering of non-wood forest products,11,9,2,11,9,2,0,0,0,6,6,0,4,4,0,2,2,0
`02,`000,STATE - HIMACHAL PRADESH,`02,`023,`0230,Gathering of non-wood forest products,11,9,2,11,9,2,0,0,0,6,6,0,4,4,0,2,2,0
`02,`000,STATE - HIMACHAL PRADESH,`02,`024,`0000,Support services to forestry,707,655,52,657,613,44,50,42,8,72,69,3,72,69,3,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`02,`024,`0240,Support services to forestry,707,655,52,657,613,44,50,42,8,72,69,3,72,69,3,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`03,`000,`0000,Fishing and aquaculture,34,22,12,26,16,10,8,6,2,8,4,4,4,2,2,4,2,2
`02,`000,STATE - HIMACHAL PRADESH,`03,`031,`0000,Fishing,30,18,12,22,12,10,8,6,2,6,4,2,4,2,2,2,2,0
`02,`000,STATE - HIMACHAL PRADESH,`03,`031,`0311,Marine fishing,28,16,12,22,12,10,6,4,2,4,2,2,2,0,2,2,2,0
`02,`000,STATE - HIMACHAL PRADESH,`03,`031,`0312,Freash water fishing,2,2,0,0,0,0,2,2,0,2,2,0,2,2,0,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`03,`032,`0000,Aquaculture,4,4,0,4,4,0,0,0,0,2,0,2,0,0,0,2,0,2
`02,`000,STATE - HIMACHAL PRADESH,`03,`032,`0321,Marine aquaculture,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2
`02,`000,STATE - HIMACHAL PRADESH,`03,`032,`0322,Freshwater aquaculture,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`07,`000,`0000,Mining of metal ores,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`07,`072,`0000,Mining of non-ferrous metal ores,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`07,`072,`0729,Mining of other non-ferrous metal ores,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`08,`000,`0000,Other mining and quarrying,140,140,0,136,136,0,4,4,0,42,40,2,22,20,2,20,20,0
`02,`000,STATE - HIMACHAL PRADESH,`08,`081,`0000,"Quarrying of stone, sand and clay",116,116,0,112,112,0,4,4,0,24,24,0,12,12,0,12,12,0
`02,`000,STATE - HIMACHAL PRADESH,`08,`081,`0810,"Quarrying of stone, sand and clay",116,116,0,112,112,0,4,4,0,24,24,0,12,12,0,12,12,0
`02,`000,STATE - HIMACHAL PRADESH,`08,`089,`0000,Mining and quarrying n.e.c.,24,24,0,24,24,0,0,0,0,18,16,2,10,8,2,8,8,0
`02,`000,STATE - HIMACHAL PRADESH,`08,`089,`0899,Other mining and quarrying n.e.c.,24,24,0,24,24,0,0,0,0,18,16,2,10,8,2,8,8,0
`02,`000,STATE - HIMACHAL PRADESH,`09,`000,`0000,Mining support service activities,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`09,`091,`0000,Support activities for petroleum and natural gas mining,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`09,`091,`0910,Support activities for petroleum and natural gas mining,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`10,`000,`0000,Manufacture of food products,1411,941,470,1385,915,470,26,26,0,949,345,604,941,337,604,8,8,0
`02,`000,STATE - HIMACHAL PRADESH,`10,`101,`0000,Processing and preserving of meat,18,10,8,18,10,8,0,0,0,8,2,6,8,2,6,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`10,`101,`1010,Processing and preserving of meat,18,10,8,18,10,8,0,0,0,8,2,6,8,2,6,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`10,`102,`0000,"Processing and preserving of fish, crustaceans and molluscs",2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`10,`102,`1020,"Processing and preserving of fish, crustaceans and molluscs and",2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`10,`103,`0000,Processing and preserving of fruit and vegetables,24,22,2,24,22,2,0,0,0,10,8,2,6,4,2,4,4,0
`02,`000,STATE - HIMACHAL PRADESH,`10,`103,`1030,Processing and preserving of fruit and vegetables,24,22,2,24,22,2,0,0,0,10,8,2,6,4,2,4,4,0
`02,`000,STATE - HIMACHAL PRADESH,`10,`104,`0000,Manufacture of vegetable and animal oils and fats,16,16,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`10,`104,`1040,Manufacture of vegetable and animal oils and fats,16,16,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`10,`105,`0000,Manufacture of dairy products,936,522,414,934,520,414,2,2,0,736,216,520,734,214,520,2,2,0
`02,`000,STATE - HIMACHAL PRADESH,`10,`105,`1050,Manufacture of dairy products,936,522,414,934,520,414,2,2,0,736,216,520,734,214,520,2,2,0
`02,`000,STATE - HIMACHAL PRADESH,`10,`106,`0000,"Manufacture of grain mill products, starches and starch products",156,126,30,154,124,30,2,2,0,154,90,64,154,90,64,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`10,`106,`1061,Manufacture of grain mill products,156,126,30,154,124,30,2,2,0,154,90,64,154,90,64,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`10,`107,`0000,Manufacture of other food products,258,242,16,236,220,16,22,22,0,36,28,8,34,26,8,2,2,0
`02,`000,STATE - HIMACHAL PRADESH,`10,`107,`1071,Manufacture of bakery products,21,21,0,19,19,0,2,2,0,4,4,0,4,4,0,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`10,`107,`1073,"Manufacture of cocoa, chocolate and sugar confectionery",60,58,2,60,58,2,0,0,0,4,4,0,2,2,0,2,2,0
`02,`000,STATE - HIMACHAL PRADESH,`10,`107,`1075,Manufacture of prepared meals and dishes,110,102,8,102,94,8,8,8,0,12,10,2,12,10,2,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`10,`107,`1079,Manufacture of other food products n.e.c.,67,61,6,55,49,6,12,12,0,16,10,6,16,10,6,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`10,`108,`0000,Manufacture of prepared animal feeds,1,1,0,1,1,0,0,0,0,5,1,4,5,1,4,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`10,`108,`1080,Manufacture of prepared animal feeds,1,1,0,1,1,0,0,0,0,5,1,4,5,1,4,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`11,`000,`0000,Manufacture of beverages,22,20,2,22,20,2,0,0,0,2,2,0,2,2,0,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`11,`110,`0000,Manufacture of beverages,22,20,2,22,20,2,0,0,0,2,2,0,2,2,0,0,0,0
`02,`000,STATE - HIMACHAL PRADESH,`11,`110,`1101,"Distilling, rectifying and blending of spirits; ethyl alcohol production",4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
