State Code,District Code,India/States,Division,Group,Class,NIC Name,Main Workers - Total -  Persons,Main Workers - Total - Males,Main Workers - Total - Females,Main Workers - Rural -  Persons,Main Workers - Rural - Males,Main Workers - Rural - Females,Main Workers - Urban -  Persons,Main Workers - Urban - Males,Main Workers - Urban - Females,Marginal Workers - Total -  Persons,Marginal Workers - Total - Males,Marginal Workers - Total - Females,Marginal Workers - Rural -  Persons,Marginal Workers - Rural - Males,Marginal Workers - Rural - Females,Marginal Workers - Urban -  Persons,Marginal Workers - Urban - Males,Marginal Workers - Urban - Females
`05,`000,STATE - UTTARAKHAND,`00,`000,`0000,Total,25550,18567,6983,19338,13584,5754,6212,4983,1229,9406,4510,4896,8290,3998,4292,1116,512,604
`05,`000,STATE - UTTARAKHAND,`01,`000,`0000,"Crop and animal production, hunting and related service activities",988,608,380,890,522,368,98,86,12,1023,331,692,990,324,666,33,7,26
`05,`000,STATE - UTTARAKHAND,`01,`011,`0000,Growing of non-perennial crops,238,174,64,182,126,56,56,48,8,277,129,148,264,124,140,13,5,8
`05,`000,STATE - UTTARAKHAND,`01,`011,`0111,"Growing of cereals (except rice), leguminous crops and oil seeds",102,76,26,92,70,22,10,6,4,135,65,70,132,64,68,3,1,2
`05,`000,STATE - UTTARAKHAND,`01,`011,`0112,Growing of rice,4,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0
`05,`000,STATE - UTTARAKHAND,`01,`011,`0113,"Growing of vegetables and melons, roots and tubers",26,10,16,26,10,16,0,0,0,60,22,38,60,22,38,0,0,0
`05,`000,STATE - UTTARAKHAND,`01,`011,`0114,Growing of sugar cane,2,2,0,2,2,0,0,0,0,10,4,6,10,4,6,0,0,0
`05,`000,STATE - UTTARAKHAND,`01,`011,`0116,Growing of fibre crops,50,38,12,40,28,12,10,10,0,50,28,22,48,26,22,2,2,0
`05,`000,STATE - UTTARAKHAND,`01,`011,`0119,Growing of other non-perennial crop,54,46,8,20,16,4,34,30,4,22,10,12,14,8,6,8,2,6
`05,`000,STATE - UTTARAKHAND,`01,`012,`0000,Growing of perennial crops,46,26,20,42,22,20,4,4,0,22,18,4,20,16,4,2,2,0
`05,`000,STATE - UTTARAKHAND,`01,`012,`0122,Growing of tropical and subtropical fruits,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
`05,`000,STATE - UTTARAKHAND,`01,`012,`0124,Growing of pome fruits and stone fruits,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
`05,`000,STATE - UTTARAKHAND,`01,`012,`0125,Growing of other tree and bush fruits and nuts,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
`05,`000,STATE - UTTARAKHAND,`01,`012,`0127,Growing of beverage crops,20,6,14,20,6,14,0,0,0,12,8,4,12,8,4,0,0,0
