State Code,District Code,India/States,Division,Group,Class,NIC Name,Main Workers - Total -  Persons,Main Workers - Total - Males,Main Workers - Total - Females,Main Workers - Rural -  Persons,Main Workers - Rural - Males,Main Workers - Rural - Females,Main Workers - Urban -  Persons,Main Workers - Urban - Males,Main Workers - Urban - Females,Marginal Workers - Total -  Persons,Marginal Workers - Total - Males,Marginal Workers - Total - Females,Marginal Workers - Rural -  Persons,Marginal Workers - Rural - Males,Marginal Workers - Rural - Females,Marginal Workers - Urban -  Persons,Marginal Workers - Urban - Males,Marginal Workers - Urban - Females
`09,`000,STATE - UTTAR PRADESH,`00,`000,`0000,Total,70620,54707,15913,50823,38102,12721,19797,16605,3192,52807,32392,20415,45067,27114,17953,7740,5278,2462
`09,`000,STATE - UTTAR PRADESH,`01,`000,`0000,"Crop and animal production, hunting and related service activities",2218,1751,467,1982,1535,447,236,216,20,2752,1645,1107,2639,1556,1083,113,89,24
`09,`000,STATE - UTTAR PRADESH,`01,`011,`0000,Growing of non-perennial crops,541,465,76,471,399,72,70,66,4,564,396,168,555,387,168,9,9,0
`09,`000,STATE - UTTAR PRADESH,`01,`011,`0111,"Growing of cereals (except rice), leguminous crops and oil seeds",522,448,74,456,386,70,66,62,4,547,387,160,538,378,160,9,9,0
`09,`000,STATE - UTTAR PRADESH,`01,`011,`0112,Growing of rice,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
`09,`000,STATE - UTTAR PRADESH,`01,`011,`0113,"Growing of vegetables and melons, roots and tubers",12,10,2,12,10,2,0,0,0,16,9,7,16,9,7,0,0,0
`09,`000,STATE - UTTAR PRADESH,`01,`011,`0115,Growing of tobacco,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
`09,`000,STATE - UTTAR PRADESH,`01,`011,`0116,Growing of fibre crops,3,3,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0
`09,`000,STATE - UTTAR PRADESH,`01,`011,`0119,Growing of other non-perennial crop,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
`09,`000,STATE - UTTAR PRADESH,`01,`012,`0000,Growing of perennial crops,6,4,2,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0
`09,`000,STATE - UTTAR PRADESH,`01,`012,`0127,Growing of beverage crops,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
`09,`000,STATE - UTTAR PRADESH,`01,`012,`0128,"Growing of spices, aromatic, drug and pharmaceutical crops",2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
`09,`000,STATE - UTTAR PRADESH,`01,`012,`0129,Growing of other perennial crops,3,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
`09,`000,STATE - UTTAR PRADESH,`01,`013,`0000,Plant propagation,4,4,0,2,2,0,2,2,0,5,3,2,5,3,2,0,0,0
`09,`000,STATE - UTTAR PRADESH,`01,`013,`0130,Plant propagation,4,4,0,2,2,0,2,2,0,5,3,2,5,3,2,0,0,0
`09,`000,STATE - UTTAR PRADESH,`01,`014,`0000,Animal production,572,365,207,528,329,199,44,36,8,772,316,456,734,292,442,38,24,14
`09,`000,STATE - UTTAR PRADESH,`01,`014,`0141,Raising of cattle and buffaloes,392,251,141,362,229,133,30,22,8,491,199,292,475,185,290,16,14,2
`09,`000,STATE - UTTAR PRADESH,`01,`014,`0143,Raising and breeding of camels and camelids,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0
`09,`000,STATE - UTTAR PRADESH,`01,`014,`0144,Raising of sheep and goats,125,77,48,125,77,48,0,0,0,235,94,141,223,90,133,12,4,8
`09,`000,STATE - UTTAR PRADESH,`01,`014,`0145,Raising of swine/pigs,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
`09,`000,STATE - UTTAR PRADESH,`01,`014,`0146,Raising of poultry,12,9,3,12,9,3,0,0,0,17,12,5,15,10,5,2,2,0
`09,`000,STATE - UTTAR PRADESH,`01,`014,`0149,Raising of other animals,41,26,15,27,12,15,14,14,0,27,11,16,19,7,12,8,4,4
`09,`000,STATE - UTTAR PRADESH,`01,`015,`0000,Mixed farming,77,60,17,76,59,17,1,1,0,56,32,24,54,30,24,2,2,0
`09,`000,STATE - UTTAR PRADESH,`01,`015,`0150,Mixed farming,77,60,17,76,59,17,1,1,0,56,32,24,54,30,24,2,2,0
`09,`000,STATE - UTTAR PRADESH,`01,`016,`0000,Support activities to agriculture and post-harvest crop activities,1018,853,165,899,742,157,119,111,8,1355,898,457,1291,844,447,64,54,10
`09,`000,STATE - UTTAR PRADESH,`01,`016,`0161,Support activities for crop production,919,774,145,822,685,137,97,89,8,1217,828,389,1164,779,385,53,49,4
`09,`000,STATE - UTTAR PRADESH,`01,`016,`0162,Support activities for animal production,11,5,6,9,3,6,2,2,0,24,1,23,22,1,21,2,0,2
`09,`000,STATE - UTTAR PRADESH,`01,`016,`0163,Post-harvest crop activities,88,74,14,68,54,14,20,20,0,114,69,45,105,64,41,9,5,4
`09,`000,STATE - UTTAR PRADESH,`02,`000,`0000,Forestry and logging,422,280,142,378,240,138,44,40,4,219,101,118,193,79,114,26,22,4
`09,`000,STATE - UTTAR PRADESH,`02,`021,`0000,Silviculture and other forestry activities,50,47,3,44,41,3,6,6,0,29,19,10,29,19,10,0,0,0
`09,`000,STATE - UTTAR PRADESH,`02,`021,`0210,Silviculture and other forestry activities,50,47,3,44,41,3,6,6,0,29,19,10,29,19,10,0,0,0
`09,`000,STATE - UTTAR PRADESH,`02,`022,`0000,Logging,175,68,107,161,54,107,14,14,0,94,40,54,70,20,50,24,20,4
`09,`000,STATE - UTTAR PRADESH,`02,`022,`0220,Logging,175,68,107,161,54,107,14,14,0,94,40,54,70,20,50,24,20,4
`09,`000,STATE - UTTAR PRADESH,`02,`023,`0000,Gathering of non-wood forest products,43,17,26,35,11,24,8,6,2,63,20,43,63,20,43,0,0,0
`09,`000,STATE - UTTAR PRADESH,`02,`023,`0230,Gathering of non-wood forest products,43,17,26,35,11,24,8,6,2,63,20,43,63,20,43,0,0,0
`09,`000,STATE - UTTAR PRADESH,`02,`024,`0000,Support services to forestry,154,148,6,138,134,4,16,14,2,33,22,11,31,20,11,2,2,0
`09,`000,STATE - UTTAR PRADESH,`02,`024,`0240,Support services to forestry,154,148,6,138,134,4,16,14,2,33,22,11,31,20,11,2,2,0
`09,`000,STATE - UTTAR PRADESH,`03,`000,`0000,Fishing and aquaculture,57,42,15,43,28,15,14,14,0,16,13,3,12,11,1,4,2,2
`09,`000,STATE - UTTAR PRADESH,`03,`031,`0000,Fishing,26,14,12,24,12,12,2,2,0,5,3,2,3,3,0,2,0,2
`09,`000,STATE - UTTAR PRADESH,`03,`031,`0311,Marine fishing,11,7,4,11,7,4,0,0,0,3,1,2,1,1,0,2,0,2
`09,`000,STATE - UTTAR PRADESH,`03,`031,`0312,Freash water fishing,15,7,8,13,5,8,2,2,0,2,2,0,2,2,0,0,0,0
`09,`000,STATE - UTTAR PRADESH,`03,`032,`0000,Aquaculture,31,28,3,19,16,3,12,12,0,11,10,1,9,8,1,2,2,0
`09,`000,STATE - UTTAR PRADESH,`03,`032,`0321,Marine aquaculture,5,5,0,5,5,0,0,0,0,7,6,1,5,4,1,2,2,0
`09,`000,STATE - UTTAR PRADESH,`03,`032,`0322,Freshwater aquaculture,26,23,3,14,11,3,12,12,0,4,4,0,4,4,0,0,0,0
`09,`000,STATE - UTTAR PRADESH,`05,`000,`0000,Mining of coal and lignite,216,207,9,161,154,7,55,53,2,33,32,1,25,24,1,8,8,0
`09,`000,STATE - UTTAR PRADESH,`05,`051,`0000,Mining of hard coal,191,182,9,136,129,7,55,53,2,32,32,0,24,24,0,8,8,0
`09,`000,STATE - UTTAR PRADESH,`05,`051,`0510,Mining of hard coal,191,182,9,136,129,7,55,53,2,32,32,0,24,24,0,8,8,0
`09,`000,STATE - UTTAR PRADESH,`05,`052,`0000,Mining of lignite,25,25,0,25,25,0,0,0,0,1,0,1,1,0,1,0,0,0
`09,`000,STATE - UTTAR PRADESH,`05,`052,`0520,Mining of lignite,25,25,0,25,25,0,0,0,0,1,0,1,1,0,1,0,0,0
`09,`000,STATE - UTTAR PRADESH,`08,`000,`0000,Other mining and quarrying,2452,2237,215,2306,2107,199,146,130,16,1165,989,176,1057,907,150,108,82,26
`09,`000,STATE - UTTAR PRADESH,`08,`081,`0000,"Quarrying of stone, sand and clay",1611,1459,152,1553,1405,148,58,54,4,775,665,110,697,609,88,78,56,22
`09,`000,STATE - UTTAR PRADESH,`08,`081,`0810,"Quarrying of stone, sand and clay",1611,1459,152,1553,1405,148,58,54,4,775,665,110,697,609,88,78,56,22
`09,`000,STATE - UTTAR PRADESH,`08,`089,`0000,Mining and quarrying n.e.c.,841,778,63,753,702,51,88,76,12,390,324,66,360,298,62,30,26,4
