State Code,District Code,India/States,Division,Group,Class,NIC Name,Main Workers - Total -  Persons,Main Workers - Total - Males,Main Workers - Total - Females,Main Workers - Rural -  Persons,Main Workers - Rural - Males,Main Workers - Rural - Females,Main Workers - Urban -  Persons,Main Workers - Urban - Males,Main Workers - Urban - Females,Marginal Workers - Total -  Persons,Marginal Workers - Total - Males,Marginal Workers - Total - Females,Marginal Workers - Rural -  Persons,Marginal Workers - Rural - Males,Marginal Workers - Rural - Females,Marginal Workers - Urban -  Persons,Marginal Workers - Urban - Males,Marginal Workers - Urban - Females
`10,`000,STATE - BIHAR,`00,`000,`0000,Total,49021,35745,13276,37996,26991,11005,11025,8754,2271,34312,18251,16061,31397,16428,14969,2915,1823,1092
`10,`000,STATE - BIHAR,`01,`000,`0000,"Crop and animal production, hunting and related service activities",980,595,385,864,518,346,116,77,39,769,322,447,671,239,432,98,83,15
`10,`000,STATE - BIHAR,`01,`011,`0000,Growing of non-perennial crops,8,8,0,8,8,0,0,0,0,2,0,2,2,0,2,0,0,0
`10,`000,STATE - BIHAR,`01,`011,`0111,"Growing of cereals (except rice), leguminous crops and oil seeds",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
`10,`000,STATE - BIHAR,`01,`011,`0114,Growing of sugar cane,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
`10,`000,STATE - BIHAR,`01,`011,`0119,Growing of other non-perennial crop,6,6,0,6,6,0,0,0,0,2,0,2,2,0,2,0,0,0
`10,`000,STATE - BIHAR,`01,`012,`0000,Growing of perennial crops,395,219,176,337,193,144,58,26,32,192,68,124,179,55,124,13,13,0
`10,`000,STATE - BIHAR,`01,`012,`0124,Growing of pome fruits and stone fruits,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
`10,`000,STATE - BIHAR,`01,`012,`0125,Growing of other tree and bush fruits and nuts,6,6,0,0,0,0,6,6,0,2,2,0,0,0,0,2,2,0
`10,`000,STATE - BIHAR,`01,`012,`0126,Growing of oleaginous fruits,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
`10,`000,STATE - BIHAR,`01,`012,`0127,Growing of beverage crops,383,207,176,333,189,144,50,18,32,177,54,123,177,54,123,0,0,0
`10,`000,STATE - BIHAR,`01,`012,`0128,"Growing of spices, aromatic, drug and pharmaceutical crops",1,1,0,1,1,0,0,0,0,2,1,1,2,1,1,0,0,0
`10,`000,STATE - BIHAR,`01,`012,`0129,Growing of other perennial crops,3,3,0,1,1,0,2,2,0,10,10,0,0,0,0,10,10,0
