State Code,District Code,India/States,Division,Group,Class,NIC Name,Main Workers - Total -  Persons,Main Workers - Total - Males,Main Workers - Total - Females,Main Workers - Rural -  Persons,Main Workers - Rural - Males,Main Workers - Rural - Females,Main Workers - Urban -  Persons,Main Workers - Urban - Males,Main Workers - Urban - Females,Marginal Workers - Total -  Persons,Marginal Workers - Total - Males,Marginal Workers - Total - Females,Marginal Workers - Rural -  Persons,Marginal Workers - Rural - Males,Marginal Workers - Rural - Females,Marginal Workers - Urban -  Persons,Marginal Workers - Urban - Males,Marginal Workers - Urban - Females
`11,`000,STATE - SIKKIM,`00,`000,`0000,Total,36631,24842,11789,23157,16171,6986,13474,8671,4803,9099,4772,4327,7437,3812,3625,1662,960,702
`11,`000,STATE - SIKKIM,`01,`000,`0000,"Crop and animal production, hunting and related service activities",1314,818,496,1162,719,443,152,99,53,582,250,332,551,238,313,31,12,19
`11,`000,STATE - SIKKIM,`01,`011,`0000,Growing of non-perennial crops,432,252,180,400,230,170,32,22,10,169,55,114,156,50,106,13,5,8
`11,`000,STATE - SIKKIM,`01,`011,`0111,"Growing of cereals (except rice), leguminous crops and oil seeds",16,14,2,15,13,2,1,1,0,8,0,8,6,0,6,2,0,2
`11,`000,STATE - SIKKIM,`01,`011,`0112,Growing of rice,204,110,94,192,102,90,12,8,4,59,24,35,56,23,33,3,1,2
`11,`000,STATE - SIKKIM,`01,`011,`0113,"Growing of vegetables and melons, roots and tubers",208,124,84,191,113,78,17,11,6,96,27,69,88,23,65,8,4,4
`11,`000,STATE - SIKKIM,`01,`011,`0116,Growing of fibre crops,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
`11,`000,STATE - SIKKIM,`01,`011,`0119,Growing of other non-perennial crop,2,2,0,2,2,0,0,0,0,6,4,2,6,4,2,0,0,0
`11,`000,STATE - SIKKIM,`01,`012,`0000,Growing of perennial crops,124,75,49,118,69,49,6,6,0,18,11,7,16,9,7,2,2,0
`11,`000,STATE - SIKKIM,`01,`012,`0122,Growing of tropical and subtropical fruits,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
`11,`000,STATE - SIKKIM,`01,`012,`0124,Growing of pome fruits and stone fruits,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
`11,`000,STATE - SIKKIM,`01,`012,`0125,Growing of other tree and bush fruits and nuts,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
`11,`000,STATE - SIKKIM,`01,`012,`0127,Growing of beverage crops,97,53,44,95,51,44,2,2,0,11,5,6,11,5,6,0,0,0
`11,`000,STATE - SIKKIM,`01,`012,`0128,"Growing of spices, aromatic, drug and pharmaceutical crops",11,11,0,9,9,0,2,2,0,3,2,1,1,0,1,2,2,0
`11,`000,STATE - SIKKIM,`01,`012,`0129,Growing of other perennial crops,9,5,4,9,5,4,0,0,0,4,4,0,4,4,0,0,0,0
`11,`000,STATE - SIKKIM,`01,`013,`0000,Plant propagation,29,20,9,24,17,7,5,3,2,4,2,2,4,2,2,0,0,0
`11,`000,STATE - SIKKIM,`01,`013,`0130,Plant propagation,29,20,9,24,17,7,5,3,2,4,2,2,4,2,2,0,0,0
`11,`000,STATE - SIKKIM,`01,`014,`0000,Animal production,581,373,208,530,333,197,51,40,11,371,170,201,361,169,192,10,1,9
`11,`000,STATE - SIKKIM,`01,`014,`0141,Raising of cattle and buffaloes,517,321,196,480,294,186,37,27,10,310,147,163,300,146,154,10,1,9
`11,`000,STATE - SIKKIM,`01,`014,`0142,Raising of horses and other equines,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
`11,`000,STATE - SIKKIM,`01,`014,`0144,Raising of sheep and goats,2,2,0,1,1,0,1,1,0,7,0,7,7,0,7,0,0,0
`11,`000,STATE - SIKKIM,`01,`014,`0145,Raising of swine/pigs,2,0,2,2,0,2,0,0,0,2,0,2,2,0,2,0,0,0
`11,`000,STATE - SIKKIM,`01,`014,`0146,Raising of poultry,30,21,9,27,19,8,3,2,1,20,8,12,20,8,12,0,0,0
`11,`000,STATE - SIKKIM,`01,`014,`0149,Raising of other animals,30,29,1,20,19,1,10,10,0,31,14,17,31,14,17,0,0,0
`11,`000,STATE - SIKKIM,`01,`015,`0000,Mixed farming,50,27,23,37,21,16,13,6,7,4,4,0,4,4,0,0,0,0
`11,`000,STATE - SIKKIM,`01,`015,`0150,Mixed farming,50,27,23,37,21,16,13,6,7,4,4,0,4,4,0,0,0,0
`11,`000,STATE - SIKKIM,`01,`016,`0000,Support activities to agriculture and post-harvest crop activities,98,71,27,53,49,4,45,22,23,16,8,8,10,4,6,6,4,2
`11,`000,STATE - SIKKIM,`01,`016,`0161,Support activities for crop production,33,21,12,15,15,0,18,6,12,6,2,4,6,2,4,0,0,0
`11,`000,STATE - SIKKIM,`01,`016,`0162,Support activities for animal production,14,12,2,10,10,0,4,2,2,0,0,0,0,0,0,0,0,0
`11,`000,STATE - SIKKIM,`01,`016,`0163,Post-harvest crop activities,51,38,13,28,24,4,23,14,9,10,6,4,4,2,2,6,4,2
`11,`000,STATE - SIKKIM,`02,`000,`0000,Forestry and logging,632,491,141,408,328,80,224,163,61,67,51,16,53,41,12,14,10,4
