State Code,District Code,India/States,Division,Group,Class,NIC Name,Main Workers - Total -  Persons,Main Workers - Total - Males,Main Workers - Total - Females,Main Workers - Rural -  Persons,Main Workers - Rural - Males,Main Workers - Rural - Females,Main Workers - Urban -  Persons,Main Workers - Urban - Males,Main Workers - Urban - Females,Marginal Workers - Total -  Persons,Marginal Workers - Total - Males,Marginal Workers - Total - Females,Marginal Workers - Rural -  Persons,Marginal Workers - Rural - Males,Marginal Workers - Rural - Females,Marginal Workers - Urban -  Persons,Marginal Workers - Urban - Males,Marginal Workers - Urban - Females
`13,`000,STATE - NAGALAND,`00,`000,`0000,Total,206397,140493,65904,111442,78038,33404,94955,62455,32500,62665,27824,34841,43865,20384,23481,18800,7440,11360
`13,`000,STATE - NAGALAND,`01,`000,`0000,"Crop and animal production, hunting and related service activities",9250,4557,4693,6017,3155,2862,3233,1402,1831,6960,2565,4395,4991,2130,2861,1969,435,1534
`13,`000,STATE - NAGALAND,`01,`011,`0000,Growing of non-perennial crops,1065,521,544,579,262,317,486,259,227,921,293,628,612,210,402,309,83,226
`13,`000,STATE - NAGALAND,`01,`011,`0111,"Growing of cereals (except rice), leguminous crops and oil seeds",13,8,5,12,8,4,1,0,1,13,9,4,9,6,3,4,3,1
`13,`000,STATE - NAGALAND,`01,`011,`0112,Growing of rice,769,390,379,381,171,210,388,219,169,435,190,245,264,125,139,171,65,106
`13,`000,STATE - NAGALAND,`01,`011,`0113,"Growing of vegetables and melons, roots and tubers",237,104,133,158,68,90,79,36,43,403,80,323,282,66,216,121,14,107
`13,`000,STATE - NAGALAND,`01,`011,`0114,Growing of sugar cane,6,5,1,4,4,0,2,1,1,2,2,0,2,2,0,0,0,0
`13,`000,STATE - NAGALAND,`01,`011,`0116,Growing of fibre crops,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
`13,`000,STATE - NAGALAND,`01,`011,`0119,Growing of other non-perennial crop,38,12,26,22,9,13,16,3,13,68,12,56,55,11,44,13,1,12
`13,`000,STATE - NAGALAND,`01,`012,`0000,Growing of perennial crops,1691,1294,397,1466,1138,328,225,156,69,577,346,231,520,326,194,57,20,37
`13,`000,STATE - NAGALAND,`01,`012,`0122,Growing of tropical and subtropical fruits,103,66,37,92,58,34,11,8,3,28,11,17,17,8,9,11,3,8
`13,`000,STATE - NAGALAND,`01,`012,`0123,Growing of citrus fruits,93,80,13,89,76,13,4,4,0,53,22,31,48,20,28,5,2,3
`13,`000,STATE - NAGALAND,`01,`012,`0124,Growing of pome fruits and stone fruits,40,33,7,40,33,7,0,0,0,10,3,7,10,3,7,0,0,0
`13,`000,STATE - NAGALAND,`01,`012,`0125,Growing of other tree and bush fruits and nuts,73,55,18,69,52,17,4,3,1,55,21,34,43,20,23,12,1,11
`13,`000,STATE - NAGALAND,`01,`012,`0126,Growing of oleaginous fruits,32,20,12,16,12,4,16,8,8,0,0,0,0,0,0,0,0,0
`13,`000,STATE - NAGALAND,`01,`012,`0127,Growing of beverage crops,833,670,163,728,596,132,105,74,31,245,151,94,226,139,87,19,12,7
`13,`000,STATE - NAGALAND,`01,`012,`0128,"Growing of spices, aromatic, drug and pharmaceutical crops",27,20,7,22,17,5,5,3,2,12,6,6,10,6,4,2,0,2
`13,`000,STATE - NAGALAND,`01,`012,`0129,Growing of other perennial crops,490,350,140,410,294,116,80,56,24,174,132,42,166,130,36,8,2,6
`13,`000,STATE - NAGALAND,`01,`013,`0000,Plant propagation,82,56,26,58,42,16,24,14,10,72,30,42,61,26,35,11,4,7
`13,`000,STATE - NAGALAND,`01,`013,`0130,Plant propagation,82,56,26,58,42,16,24,14,10,72,30,42,61,26,35,11,4,7
`13,`000,STATE - NAGALAND,`01,`014,`0000,Animal production,5022,1599,3423,3330,1229,2101,1692,370,1322,5162,1758,3404,3627,1458,2169,1535,300,1235
`13,`000,STATE - NAGALAND,`01,`014,`0141,Raising of cattle and buffaloes,652,380,272,540,325,215,112,55,57,660,312,348,554,267,287,106,45,61
`13,`000,STATE - NAGALAND,`01,`014,`0142,Raising of horses and other equines,13,11,2,10,10,0,3,1,2,9,4,5,5,4,1,4,0,4
`13,`000,STATE - NAGALAND,`01,`014,`0144,Raising of sheep and goats,64,33,31,56,26,30,8,7,1,41,18,23,38,17,21,3,1,2
`13,`000,STATE - NAGALAND,`01,`014,`0145,Raising of swine/pigs,2718,478,2240,1769,356,1413,949,122,827,2622,705,1917,1753,545,1208,869,160,709
`13,`000,STATE - NAGALAND,`01,`014,`0146,Raising of poultry,756,246,510,430,161,269,326,85,241,1061,318,743,622,241,381,439,77,362
`13,`000,STATE - NAGALAND,`01,`014,`0149,Raising of other animals,819,451,368,525,351,174,294,100,194,769,401,368,655,384,271,114,17,97
`13,`000,STATE - NAGALAND,`01,`015,`0000,Mixed farming,78,42,36,39,22,17,39,20,19,104,62,42,89,57,32,15,5,10
`13,`000,STATE - NAGALAND,`01,`015,`0150,Mixed farming,78,42,36,39,22,17,39,20,19,104,62,42,89,57,32,15,5,10
`13,`000,STATE - NAGALAND,`01,`016,`0000,Support activities to agriculture and post-harvest crop activities,1308,1041,267,541,458,83,767,583,184,103,57,46,62,35,27,41,22,19
`13,`000,STATE - NAGALAND,`01,`016,`0161,Support activities for crop production,952,766,186,384,330,54,568,436,132,92,49,43,52,28,24,40,21,19
`13,`000,STATE - NAGALAND,`01,`016,`0162,Support activities for animal production,21,8,13,16,4,12,5,4,1,0,0,0,0,0,0,0,0,0
`13,`000,STATE - NAGALAND,`01,`016,`0163,Post-harvest crop activities,335,267,68,141,124,17,194,143,51,11,8,3,10,7,3,1,1,0
`13,`000,STATE - NAGALAND,`01,`017,`0000,"Hunting, trapping and related service activities",4,4,0,4,4,0,0,0,0,21,19,2,20,18,2,1,1,0
`13,`000,STATE - NAGALAND,`01,`017,`0170,"Hunting, trapping and related service activities",4,4,0,4,4,0,0,0,0,21,19,2,20,18,2,1,1,0
`13,`000,STATE - NAGALAND,`02,`000,`0000,Forestry and logging,2965,2613,352,1625,1508,117,1340,1105,235,1680,1354,326,1498,1219,279,182,135,47
`13,`000,STATE - NAGALAND,`02,`021,`0000,Silviculture and other forestry activities,258,187,71,112,92,20,146,95,51,30,11,19,20,9,11,10,2,8
`13,`000,STATE - NAGALAND,`02,`021,`0210,Silviculture and other forestry activities,258,187,71,112,92,20,146,95,51,30,11,19,20,9,11,10,2,8
