State Code,District Code,India/States,Division,Group,Class,NIC Name,Main Workers - Total -  Persons,Main Workers - Total - Males,Main Workers - Total - Females,Main Workers - Rural -  Persons,Main Workers - Rural - Males,Main Workers - Rural - Females,Main Workers - Urban -  Persons,Main Workers - Urban - Males,Main Workers - Urban - Females,Marginal Workers - Total -  Persons,Marginal Workers - Total - Males,Marginal Workers - Total - Females,Marginal Workers - Rural -  Persons,Marginal Workers - Rural - Males,Marginal Workers - Rural - Females,Marginal Workers - Urban -  Persons,Marginal Workers - Urban - Males,Marginal Workers - Urban - Females
`18,`000,STATE - ASSAM,`00,`000,`0000,Total,293327,206038,87289,237062,163334,73728,56265,42704,13561,143252,54807,88445,133942,49978,83964,9310,4829,4481
`18,`000,STATE - ASSAM,`01,`000,`0000,"Crop and animal production, hunting and related service activities",19964,13614,6350,17942,12112,5830,2022,1502,520,13318,4844,8474,12924,4624,8300,394,220,174
`18,`000,STATE - ASSAM,`01,`011,`0000,Growing of non-perennial crops,6019,4750,1269,5254,4082,1172,765,668,97,4198,2448,1750,4030,2324,1706,168,124,44
`18,`000,STATE - ASSAM,`01,`011,`0111,"Growing of cereals (except rice), leguminous crops and oil seeds",132,82,50,110,68,42,22,14,8,96,52,44,86,46,40,10,6,4
`18,`000,STATE - ASSAM,`01,`011,`0112,Growing of rice,5803,4610,1193,5092,3976,1116,711,634,77,4038,2354,1684,3884,2240,1644,154,114,40
`18,`000,STATE - ASSAM,`01,`011,`0113,"Growing of vegetables and melons, roots and tubers",66,44,22,50,36,14,16,8,8,54,32,22,50,28,22,4,4,0
`18,`000,STATE - ASSAM,`01,`011,`0116,Growing of fibre crops,2,2,0,2,2,0,0,0,0,2,2,0,2,2,0,0,0,0
`18,`000,STATE - ASSAM,`01,`011,`0119,Growing of other non-perennial crop,16,12,4,0,0,0,16,12,4,8,8,0,8,8,0,0,0,0
`18,`000,STATE - ASSAM,`01,`012,`0000,Growing of perennial crops,6368,4572,1796,6130,4386,1744,238,186,52,1460,670,790,1422,646,776,38,24,14
`18,`000,STATE - ASSAM,`01,`012,`0122,Growing of tropical and subtropical fruits,14,12,2,14,12,2,0,0,0,4,4,0,4,4,0,0,0,0
`18,`000,STATE - ASSAM,`01,`012,`0123,Growing of citrus fruits,4,4,0,4,4,0,0,0,0,4,2,2,4,2,2,0,0,0
`18,`000,STATE - ASSAM,`01,`012,`0125,Growing of other tree and bush fruits and nuts,106,86,20,106,86,20,0,0,0,18,8,10,18,8,10,0,0,0
`18,`000,STATE - ASSAM,`01,`012,`0126,Growing of oleaginous fruits,2,0,2,2,0,2,0,0,0,10,8,2,10,8,2,0,0,0
`18,`000,STATE - ASSAM,`01,`012,`0127,Growing of beverage crops,5788,4106,1682,5588,3956,1632,200,150,50,1234,538,696,1206,522,684,28,16,12
`18,`000,STATE - ASSAM,`01,`012,`0128,"Growing of spices, aromatic, drug and pharmaceutical crops",22,10,12,20,10,10,2,0,2,64,32,32,64,32,32,0,0,0
`18,`000,STATE - ASSAM,`01,`012,`0129,Growing of other perennial crops,432,354,78,396,318,78,36,36,0,126,78,48,116,70,46,10,8,2
`18,`000,STATE - ASSAM,`01,`013,`0000,Plant propagation,36,34,2,28,28,0,8,6,2,32,26,6,30,24,6,2,2,0
`18,`000,STATE - ASSAM,`01,`013,`0130,Plant propagation,36,34,2,28,28,0,8,6,2,32,26,6,30,24,6,2,2,0
`18,`000,STATE - ASSAM,`01,`014,`0000,Animal production,4689,1889,2800,4202,1678,2524,487,211,276,6224,930,5294,6102,906,5196,122,24,98
`18,`000,STATE - ASSAM,`01,`014,`0141,Raising of cattle and buffaloes,1429,867,562,1314,824,490,115,43,72,1572,458,1114,1534,450,1084,38,8,30
`18,`000,STATE - ASSAM,`01,`014,`0142,Raising of horses and other equines,10,10,0,10,10,0,0,0,0,2,0,2,2,0,2,0,0,0
`18,`000,STATE - ASSAM,`01,`014,`0143,Raising and breeding of camels and camelids,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0
`18,`000,STATE - ASSAM,`01,`014,`0144,Raising of sheep and goats,166,34,132,158,34,124,8,0,8,232,36,196,220,36,184,12,0,12
`18,`000,STATE - ASSAM,`01,`014,`0145,Raising of swine/pigs,1394,382,1012,1258,324,934,136,58,78,1982,174,1808,1958,172,1786,24,2,22
`18,`000,STATE - ASSAM,`01,`014,`0146,Raising of poultry,1104,238,866,1020,210,810,84,28,56,2036,184,1852,1996,172,1824,40,12,28
`18,`000,STATE - ASSAM,`01,`014,`0149,Raising of other animals,586,358,228,442,276,166,144,82,62,398,78,320,390,76,314,8,2,6
`18,`000,STATE - ASSAM,`01,`015,`0000,Mixed farming,1464,1114,350,1318,1000,318,146,114,32,1054,580,474,1002,542,460,52,38,14
`18,`000,STATE - ASSAM,`01,`015,`0150,Mixed farming,1464,1114,350,1318,1000,318,146,114,32,1054,580,474,1002,542,460,52,38,14
`18,`000,STATE - ASSAM,`01,`016,`0000,Support activities to agriculture and post-harvest crop activities,1388,1255,133,1010,938,72,378,317,61,348,190,158,336,182,154,12,8,4
`18,`000,STATE - ASSAM,`01,`016,`0161,Support activities for crop production,1099,994,105,822,766,56,277,228,49,296,158,138,288,152,136,8,6,2
`18,`000,STATE - ASSAM,`01,`016,`0162,Support activities for animal production,4,4,0,2,2,0,2,2,0,2,2,0,2,2,0,0,0,0
`18,`000,STATE - ASSAM,`01,`016,`0163,Post-harvest crop activities,285,257,28,186,170,16,99,87,12,50,30,20,46,28,18,4,2,2
`18,`000,STATE - ASSAM,`01,`017,`0000,"Hunting, trapping and related service activities",0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0
`18,`000,STATE - ASSAM,`01,`017,`0170,"Hunting, trapping and related service activities",0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0
`18,`000,STATE - ASSAM,`02,`000,`0000,Forestry and logging,3961,3647,314,2900,2646,254,1061,1001,60,634,460,174,596,434,162,38,26,12
`18,`000,STATE - ASSAM,`02,`021,`0000,Silviculture and other forestry activities,346,336,10,190,182,8,156,154,2,6,6,0,6,6,0,0,0,0
