State Code,District Code,India/States,Division,Group,Class,NIC Name,Main Workers - Total -  Persons,Main Workers - Total - Males,Main Workers - Total - Females,Main Workers - Rural -  Persons,Main Workers - Rural - Males,Main Workers - Rural - Females,Main Workers - Urban -  Persons,Main Workers - Urban - Males,Main Workers - Urban - Females,Marginal Workers - Total -  Persons,Marginal Workers - Total - Males,Marginal Workers - Total - Females,Marginal Workers - Rural -  Persons,Marginal Workers - Rural - Males,Marginal Workers - Rural - Females,Marginal Workers - Urban -  Persons,Marginal Workers - Urban - Males,Marginal Workers - Urban - Females
`21,`000,STATE - ODISHA,`00,`000,`0000,Total,630079,447722,182357,482453,337954,144499,147626,109768,37858,434062,195937,238125,398262,175831,222431,35800,20106,15694
`21,`000,STATE - ODISHA,`01,`000,`0000,"Crop and animal production, hunting and related service activities",18891,13846,5045,16426,11949,4477,2465,1897,568,23401,12168,11233,22398,11595,10803,1003,573,430
`21,`000,STATE - ODISHA,`01,`011,`0000,Growing of non-perennial crops,253,191,62,165,107,58,88,84,4,323,144,179,266,117,149,57,27,30
`21,`000,STATE - ODISHA,`01,`011,`0111,"Growing of cereals (except rice), leguminous crops and oil seeds",33,31,2,21,19,2,12,12,0,57,32,25,45,26,19,12,6,6
`21,`000,STATE - ODISHA,`01,`011,`0112,Growing of rice,40,28,12,34,22,12,6,6,0,37,26,11,32,21,11,5,5,0
`21,`000,STATE - ODISHA,`01,`011,`0113,"Growing of vegetables and melons, roots and tubers",136,108,28,76,50,26,60,58,2,143,66,77,133,60,73,10,6,4
`21,`000,STATE - ODISHA,`01,`011,`0114,Growing of sugar cane,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0
`21,`000,STATE - ODISHA,`01,`011,`0115,Growing of tobacco,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
`21,`000,STATE - ODISHA,`01,`011,`0116,Growing of fibre crops,26,12,14,18,4,14,8,8,0,67,16,51,39,6,33,28,10,18
`21,`000,STATE - ODISHA,`01,`011,`0119,Growing of other non-perennial crop,14,12,2,12,12,0,2,0,2,15,4,11,13,4,9,2,0,2
`21,`000,STATE - ODISHA,`01,`012,`0000,Growing of perennial crops,222,144,78,178,120,58,44,24,20,250,128,122,240,126,114,10,2,8
`21,`000,STATE - ODISHA,`01,`012,`0122,Growing of tropical and subtropical fruits,16,10,6,16,10,6,0,0,0,16,10,6,14,8,6,2,2,0
`21,`000,STATE - ODISHA,`01,`012,`0123,Growing of citrus fruits,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
`21,`000,STATE - ODISHA,`01,`012,`0124,Growing of pome fruits and stone fruits,2,2,0,2,2,0,0,0,0,4,4,0,4,4,0,0,0,0
`21,`000,STATE - ODISHA,`01,`012,`0125,Growing of other tree and bush fruits and nuts,105,65,40,79,57,22,26,8,18,156,77,79,148,77,71,8,0,8
`21,`000,STATE - ODISHA,`01,`012,`0126,Growing of oleaginous fruits,14,6,8,14,6,8,0,0,0,10,6,4,10,6,4,0,0,0
`21,`000,STATE - ODISHA,`01,`012,`0127,Growing of beverage crops,43,25,18,35,19,16,8,6,2,26,10,16,26,10,16,0,0,0
`21,`000,STATE - ODISHA,`01,`012,`0128,"Growing of spices, aromatic, drug and pharmaceutical crops",12,6,6,6,0,6,6,6,0,4,2,2,4,2,2,0,0,0
`21,`000,STATE - ODISHA,`01,`012,`0129,Growing of other perennial crops,28,28,0,24,24,0,4,4,0,34,19,15,34,19,15,0,0,0
`21,`000,STATE - ODISHA,`01,`013,`0000,Plant propagation,285,209,76,245,181,64,40,28,12,166,102,64,156,96,60,10,6,4
`21,`000,STATE - ODISHA,`01,`013,`0130,Plant propagation,285,209,76,245,181,64,40,28,12,166,102,64,156,96,60,10,6,4
`21,`000,STATE - ODISHA,`01,`014,`0000,Animal production,8304,5994,2310,7915,5713,2202,389,281,108,8533,5222,3311,8386,5119,3267,147,103,44
`21,`000,STATE - ODISHA,`01,`014,`0141,Raising of cattle and buffaloes,4649,3605,1044,4446,3444,1002,203,161,42,5552,3739,1813,5456,3669,1787,96,70,26
`21,`000,STATE - ODISHA,`01,`014,`0143,Raising and breeding of camels and camelids,4,2,2,4,2,2,0,0,0,2,0,2,2,0,2,0,0,0
`21,`000,STATE - ODISHA,`01,`014,`0144,Raising of sheep and goats,2586,1568,1018,2513,1537,976,73,31,42,2250,1095,1155,2213,1074,1139,37,21,16
`21,`000,STATE - ODISHA,`01,`014,`0145,Raising of swine/pigs,34,20,14,22,16,6,12,4,8,24,14,10,22,12,10,2,2,0
`21,`000,STATE - ODISHA,`01,`014,`0146,Raising of poultry,551,424,127,485,366,119,66,58,8,275,111,164,269,105,164,6,6,0
`21,`000,STATE - ODISHA,`01,`014,`0149,Raising of other animals,480,375,105,445,348,97,35,27,8,430,263,167,424,259,165,6,4,2
`21,`000,STATE - ODISHA,`01,`015,`0000,Mixed farming,54,42,12,50,40,10,4,2,2,6,6,0,6,6,0,0,0,0
`21,`000,STATE - ODISHA,`01,`015,`0150,Mixed farming,54,42,12,50,40,10,4,2,2,6,6,0,6,6,0,0,0,0
`21,`000,STATE - ODISHA,`01,`016,`0000,Support activities to agriculture and post-harvest crop activities,9762,7257,2505,7862,5779,2083,1900,1478,422,14115,6560,7555,13336,6125,7211,779,435,344
`21,`000,STATE - ODISHA,`01,`016,`0161,Support activities for crop production,8752,6513,2239,6921,5083,1838,1831,1430,401,12987,5917,7070,12260,5510,6750,727,407,320
`21,`000,STATE - ODISHA,`01,`016,`0162,Support activities for animal production,677,514,163,646,495,151,31,19,12,676,416,260,652,402,250,24,14,10
`21,`000,STATE - ODISHA,`01,`016,`0163,Post-harvest crop activities,327,228,99,289,199,90,38,29,9,450,225,225,422,211,211,28,14,14
`21,`000,STATE - ODISHA,`01,`016,`0164,Seed processing for propagation,6,2,4,6,2,4,0,0,0,2,2,0,2,2,0,0,0,0
`21,`000,STATE - ODISHA,`01,`017,`0000,"Hunting, trapping and related service activities",11,9,2,11,9,2,0,0,0,8,6,2,8,6,2,0,0,0
`21,`000,STATE - ODISHA,`01,`017,`0170,"Hunting, trapping and related service activities",11,9,2,11,9,2,0,0,0,8,6,2,8,6,2,0,0,0
`21,`000,STATE - ODISHA,`02,`000,`0000,Forestry and logging,9314,6238,3076,8385,5607,2778,929,631,298,17613,5238,12375,17112,5099,12013,501,139,362
`21,`000,STATE - ODISHA,`02,`021,`0000,Silviculture and other forestry activities,894,606,288,817,557,260,77,49,28,1551,697,854,1501,682,819,50,15,35
`21,`000,STATE - ODISHA,`02,`021,`0210,Silviculture and other forestry activities,894,606,288,817,557,260,77,49,28,1551,697,854,1501,682,819,50,15,35
`21,`000,STATE - ODISHA,`02,`022,`0000,Logging,4898,3224,1674,4430,2948,1482,468,276,192,6326,2483,3843,5971,2391,3580,355,92,263
`21,`000,STATE - ODISHA,`02,`022,`0220,Logging,4898,3224,1674,4430,2948,1482,468,276,192,6326,2483,3843,5971,2391,3580,355,92,263
`21,`000,STATE - ODISHA,`02,`023,`0000,Gathering of non-wood forest products,2061,1112,949,1972,1058,914,89,54,35,9317,1795,7522,9240,1776,7464,77,19,58
`21,`000,STATE - ODISHA,`02,`023,`0230,Gathering of non-wood forest products,2061,1112,949,1972,1058,914,89,54,35,9317,1795,7522,9240,1776,7464,77,19,58
`21,`000,STATE - ODISHA,`02,`024,`0000,Support services to forestry,1461,1296,165,1166,1044,122,295,252,43,419,263,156,400,250,150,19,13,6
`21,`000,STATE - ODISHA,`02,`024,`0240,Support services to forestry,1461,1296,165,1166,1044,122,295,252,43,419,263,156,400,250,150,19,13,6
`21,`000,STATE - ODISHA,`03,`000,`0000,Fishing and aquaculture,2358,2098,260,2285,2045,240,73,53,20,1076,675,401,1055,657,398,21,18,3
`21,`000,STATE - ODISHA,`03,`031,`0000,Fishing,2125,1890,235,2072,1849,223,53,41,12,934,575,359,919,561,358,15,14,1
`21,`000,STATE - ODISHA,`03,`031,`0311,Marine fishing,1130,1012,118,1120,1002,118,10,10,0,616,348,268,614,346,268,2,2,0
`21,`000,STATE - ODISHA,`03,`031,`0312,Freash water fishing,995,878,117,952,847,105,43,31,12,318,227,91,305,215,90,13,12,1
`21,`000,STATE - ODISHA,`03,`032,`0000,Aquaculture,233,208,25,213,196,17,20,12,8,142,100,42,136,96,40,6,4,2
`21,`000,STATE - ODISHA,`03,`032,`0321,Marine aquaculture,74,68,6,68,62,6,6,6,0,62,38,24,62,38,24,0,0,0
`21,`000,STATE - ODISHA,`03,`032,`0322,Freshwater aquaculture,159,140,19,145,134,11,14,6,8,80,62,18,74,58,16,6,4,2
`21,`000,STATE - ODISHA,`05,`000,`0000,Mining of coal and lignite,3563,3137,426,2167,1891,276,1396,1246,150,511,385,126,451,341,110,60,44,16
`21,`000,STATE - ODISHA,`05,`051,`0000,Mining of hard coal,3511,3089,422,2115,1843,272,1396,1246,150,503,379,124,443,335,108,60,44,16
`21,`000,STATE - ODISHA,`05,`051,`0510,Mining of hard coal,3511,3089,422,2115,1843,272,1396,1246,150,503,379,124,443,335,108,60,44,16
`21,`000,STATE - ODISHA,`05,`052,`0000,Mining of lignite,52,48,4,52,48,4,0,0,0,8,6,2,8,6,2,0,0,0
`21,`000,STATE - ODISHA,`05,`052,`0520,Mining of lignite,52,48,4,52,48,4,0,0,0,8,6,2,8,6,2,0,0,0
`21,`000,STATE - ODISHA,`06,`000,`0000,Extraction of crude petroleum and natural gas,14,12,2,10,8,2,4,4,0,6,4,2,6,4,2,0,0,0
`21,`000,STATE - ODISHA,`06,`061,`0000,Extraction of crude petroleum,12,10,2,8,6,2,4,4,0,6,4,2,6,4,2,0,0,0
`21,`000,STATE - ODISHA,`06,`061,`0610,Extraction of crude petroleum,12,10,2,8,6,2,4,4,0,6,4,2,6,4,2,0,0,0
`21,`000,STATE - ODISHA,`06,`062,`0000,Extraction of natural gas,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
`21,`000,STATE - ODISHA,`06,`062,`0620,Extraction of natural gas,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
`21,`000,STATE - ODISHA,`07,`000,`0000,Mining of metal ores,15320,11482,3838,13262,9934,3328,2058,1548,510,3794,2513,1281,3470,2303,1167,324,210,114
`21,`000,STATE - ODISHA,`07,`071,`0000,Mining of iron ores,12834,9660,3174,10930,8218,2712,1904,1442,462,3289,2177,1112,2995,1981,1014,294,196,98
`21,`000,STATE - ODISHA,`07,`071,`0710,Mining of iron ores,12834,9660,3174,10930,8218,2712,1904,1442,462,3289,2177,1112,2995,1981,1014,294,196,98
`21,`000,STATE - ODISHA,`07,`072,`0000,Mining of non-ferrous metal ores,2486,1822,664,2332,1716,616,154,106,48,505,336,169,475,322,153,30,14,16
`21,`000,STATE - ODISHA,`07,`072,`0721,Mining of uranium and thorium ores,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
